Machine 1 - 2_Motor DE - 5c1382 date,Machine 1 - 2_Motor DE - 5c1382 rms,Machine 1 - 1_Motor NDE - 5c132d date,Machine 1 - 1_Motor NDE - 5c132d rms
1702889414000.0,1309.326171875,1702889678000.0,1341.30859375
1702889452000.0,1309.326171875,1702889716000.0,1341.30859375
1702889632000.0,1312.5,1702889896000.0,1369.873046875
1702889812000.0,1289.0625,1702890076000.0,1356.689453125
1702889992000.0,1322.75390625,1702890256000.0,1311.279296875
1702890172000.0,1356.689453125,1702890436000.0,1325.68359375
1702890352000.0,1314.94140625,1702890616000.0,1323.974609375
1702890532000.0,1297.8515625,1702890796000.0,1343.994140625
1702890712000.0,1291.50390625,1702890976000.0,1331.0546875
1702890892000.0,1287.109375,1702891156000.0,1350.09765625
1702891072000.0,1363.76953125,1702891336000.0,1364.990234375
1702891252000.0,1360.3515625,1702891516000.0,1336.9140625
1702891432000.0,1333.251953125,1702891696000.0,1330.078125
1702891612000.0,1326.416015625,1702891876000.0,1304.6875
1702891792000.0,1295.166015625,1702892056000.0,1350.09765625
1702891972000.0,1316.162109375,1702892236000.0,1338.37890625
1702892152000.0,1350.341796875,1702892416000.0,1346.435546875
1702892332000.0,1359.619140625,1702892596000.0,1365.966796875
1702892512000.0,1291.50390625,1702892776000.0,1319.82421875
1702892692000.0,1326.416015625,1702892956000.0,1381.591796875
1702892872000.0,1354.736328125,1702893315000.0,1339.599609375
1702893052000.0,1322.75390625,1702893495000.0,1334.9609375
1702893411000.0,1326.66015625,1702893675000.0,1334.9609375
1702893591000.0,1345.703125,1702893855000.0,1322.509765625
1702893771000.0,1337.646484375,1702894035000.0,1345.947265625
1702893951000.0,1381.34765625,1702894215000.0,1404.78515625
1702894131000.0,1369.873046875,1702894395000.0,1342.28515625
1702894311000.0,1339.35546875,1702894575000.0,1357.177734375
1702894491000.0,1335.9375,1702894755000.0,1383.30078125
1702894671000.0,1388.671875,1702894935000.0,1363.28125
1702894851000.0,1340.576171875,1702895115000.0,1390.380859375
1702895031000.0,1364.013671875,1702895295000.0,1348.876953125
1702895211000.0,1387.6953125,1702895475000.0,1342.7734375
1702895391000.0,1364.74609375,1702895655000.0,1344.482421875
1702895571000.0,1339.111328125,1702895835000.0,1376.220703125
1702895751000.0,1373.53515625,1702896015000.0,1344.970703125
1702895931000.0,1373.779296875,1702896195000.0,1353.02734375
1702896111000.0,1402.83203125,1702896375000.0,1351.806640625
1702896291000.0,1391.11328125,1702896555000.0,1348.876953125
1702896471000.0,1319.580078125,1702896735000.0,1361.572265625
1702896651000.0,1391.6015625,1702896915000.0,1347.65625
1702896831000.0,1389.16015625,1702897095000.0,1382.568359375
1702897011000.0,1357.666015625,1702897275000.0,1341.796875
1702897191000.0,1372.802734375,1702897455000.0,1364.990234375
1702897371000.0,1361.81640625,1702897635000.0,1364.990234375
1702897551000.0,1357.91015625,1702897815000.0,1322.998046875
1702897731000.0,1342.041015625,1702897995000.0,1343.017578125
1702897911000.0,1362.548828125,1702898175000.0,1364.013671875
1702898091000.0,1349.853515625,1702898355000.0,1368.1640625
1702898271000.0,1368.1640625,1702898535000.0,1373.046875
1702898451000.0,1362.79296875,1702898715000.0,1329.1015625
1702898631000.0,1358.642578125,1702898895000.0,1334.9609375
1702898811000.0,1392.08984375,1702899075000.0,1364.501953125
1702898991000.0,1378.173828125,1702899255000.0,1314.94140625
1702899171000.0,1389.16015625,1702899435000.0,1354.248046875
1702899351000.0,1389.404296875,1702899615000.0,1416.748046875
1702899531000.0,1406.005859375,1702899795000.0,1400.390625
1702899711000.0,1345.21484375,1702899975000.0,1329.58984375
1702899891000.0,1381.34765625,1702900155000.0,1363.525390625
1702900071000.0,1367.431640625,1702900335000.0,1395.01953125
1702900251000.0,1347.65625,1702900515000.0,1372.802734375
1702900431000.0,1364.013671875,1702900695000.0,1356.689453125
1702900611000.0,1433.10546875,1702900875000.0,1344.7265625
1702900791000.0,1356.201171875,1702901055000.0,1354.4921875
1702901017000.0,1368.1640625,1702901280000.0,1358.154296875
1702901422000.0,1404.296875,1702901685000.0,1363.76953125
1702901466000.0,1404.296875,1702901730000.0,1363.76953125
1702901646000.0,1473.388671875,1702901910000.0,1364.013671875
1702901826000.0,1373.291015625,1702902090000.0,1347.900390625
1702902006000.0,1343.017578125,1702902270000.0,1379.150390625
1702902186000.0,1353.759765625,1702902450000.0,1358.642578125
1702902366000.0,1414.0625,1702902630000.0,1357.91015625
1702902546000.0,1355.224609375,1702902810000.0,1363.76953125
1702902726000.0,1450.439453125,1702902990000.0,1334.716796875
