Machine 1 - 2_Motor DE - 5c1382 date,Machine 1 - 2_Motor DE - 5c1382 rms,Machine 1 - 1_Motor NDE - 5c132d date,Machine 1 - 1_Motor NDE - 5c132d rms
1702854038000.0,1061.767578125,1702854302000.0,1093.75
1702854623000.0,1061.5234375,1702854887000.0,1094.23828125
1702855253000.0,1062.5,1702855472000.0,1095.458984375
1702855838000.0,1062.01171875,1702856057000.0,1095.21484375
1702856423000.0,1060.791015625,1702856687000.0,1096.435546875
1702857008000.0,1061.5234375,1702857272000.0,1094.482421875
1702857638000.0,1059.814453125,1702857857000.0,1095.703125
1702858223000.0,1060.791015625,1702858487000.0,1095.21484375
1702858808000.0,1061.767578125,1702859072000.0,1096.19140625
1702859438000.0,1060.791015625,1702859657000.0,1093.505859375
1702860023000.0,1062.5,1702860287000.0,1095.703125
1702860608000.0,1058.59375,1702860872000.0,1095.703125
1702861238000.0,1060.791015625,1702861457000.0,1094.970703125
1702861823000.0,1062.5,1702862087000.0,1095.21484375
1702862408000.0,1061.03515625,1702862672000.0,1094.7265625
1702863038000.0,1062.5,1702863257000.0,1094.970703125
1702863623000.0,1058.59375,1702863887000.0,1093.26171875
1702864208000.0,1060.546875,1702864472000.0,1093.505859375
1702864838000.0,1060.05859375,1702865057000.0,1095.947265625
1702865423000.0,1061.279296875,1702865687000.0,1096.19140625
1702866008000.0,1061.5234375,1702866272000.0,1095.947265625
1702866638000.0,1061.5234375,1702866857000.0,1093.505859375
1702867223000.0,1059.326171875,1702867487000.0,1092.28515625
1702867808000.0,1060.791015625,1702868072000.0,1092.28515625
1702868438000.0,1061.279296875,1702868657000.0,1093.994140625
1702869023000.0,1062.98828125,1702869287000.0,1094.970703125
1702869608000.0,1062.744140625,1702869872000.0,1095.703125
1702870238000.0,1060.302734375,1702870457000.0,1094.970703125
1702870823000.0,1061.03515625,1702871087000.0,1095.21484375
1702871408000.0,1061.767578125,1702871671000.0,1094.23828125
1702872038000.0,1061.767578125,1702872256000.0,1094.7265625
1702872623000.0,1061.5234375,1702872886000.0,1095.21484375
1702873208000.0,1062.5,1702873471000.0,1094.970703125
1702873838000.0,1061.767578125,1702874056000.0,1094.7265625
1702874423000.0,1062.255859375,1702874686000.0,1094.970703125
1702875008000.0,1060.546875,1702875271000.0,1095.703125
1702875638000.0,1060.546875,1702875856000.0,1092.041015625
1702876223000.0,1062.5,1702876486000.0,1093.505859375
1702876808000.0,1061.03515625,1702877071000.0,1094.7265625
1702877438000.0,1059.326171875,1702877656000.0,1093.994140625
1702878023000.0,1060.546875,1702878286000.0,1095.21484375
1702878608000.0,1062.98828125,1702878871000.0,1094.482421875
1702879238000.0,1063.4765625,1702879456000.0,1093.994140625
1702879823000.0,1060.302734375,1702880086000.0,1093.017578125
1702880408000.0,1062.5,1702880671000.0,1094.970703125
1702881038000.0,1060.302734375,1702881256000.0,1094.23828125
1702881623000.0,1060.546875,1702881886000.0,1094.482421875
1702882208000.0,1060.546875,1702882471000.0,1094.970703125
1702882838000.0,1061.03515625,1702883056000.0,1095.21484375
1702883423000.0,1061.03515625,1702883686000.0,1093.994140625
1702884008000.0,1061.279296875,1702884271000.0,1093.994140625
1702884638000.0,1062.5,1702884856000.0,1093.505859375
1702885222000.0,1061.279296875,1702885486000.0,1093.26171875
1702885807000.0,1059.5703125,1702886071000.0,1094.970703125
1702886437000.0,1058.59375,1702886656000.0,1094.7265625
1702887022000.0,1058.59375,1702887286000.0,1094.970703125
1702887607000.0,1059.326171875,1702887871000.0,1095.458984375
1702888237000.0,1060.791015625,1702888456000.0,1092.7734375
1702888822000.0,1061.03515625,1702889086000.0,1092.041015625
1702889414000.0,1309.326171875,1702889678000.0,1341.30859375
1702889452000.0,1309.326171875,1702889716000.0,1341.30859375
1702889632000.0,1312.5,1702889896000.0,1369.873046875
1702889812000.0,1289.0625,1702890076000.0,1356.689453125
1702889992000.0,1322.75390625,1702890256000.0,1311.279296875
1702890172000.0,1356.689453125,1702890436000.0,1325.68359375
1702890352000.0,1314.94140625,1702890616000.0,1323.974609375
1702890532000.0,1297.8515625,1702890796000.0,1343.994140625
1702890712000.0,1291.50390625,1702890976000.0,1331.0546875
1702890892000.0,1287.109375,1702891156000.0,1350.09765625
1702891072000.0,1363.76953125,1702891336000.0,1364.990234375
1702891252000.0,1360.3515625,1702891516000.0,1336.9140625
1702891432000.0,1333.251953125,1702891696000.0,1330.078125
1702891612000.0,1326.416015625,1702891876000.0,1304.6875
1702891792000.0,1295.166015625,1702892056000.0,1350.09765625
1702891972000.0,1316.162109375,1702892236000.0,1338.37890625
1702892152000.0,1350.341796875,1702892416000.0,1346.435546875
1702892332000.0,1359.619140625,1702892596000.0,1365.966796875
1702892512000.0,1291.50390625,1702892776000.0,1319.82421875
1702892692000.0,1326.416015625,1702892956000.0,1381.591796875
1702892872000.0,1354.736328125,1702893315000.0,1339.599609375
1702893052000.0,1322.75390625,1702893495000.0,1334.9609375
1702893411000.0,1326.66015625,1702893675000.0,1334.9609375
1702893591000.0,1345.703125,1702893855000.0,1322.509765625
1702893771000.0,1337.646484375,1702894035000.0,1345.947265625
1702893951000.0,1381.34765625,1702894215000.0,1404.78515625
1702894131000.0,1369.873046875,1702894395000.0,1342.28515625
1702894311000.0,1339.35546875,1702894575000.0,1357.177734375
1702894491000.0,1335.9375,1702894755000.0,1383.30078125
1702894671000.0,1388.671875,1702894935000.0,1363.28125
1702894851000.0,1340.576171875,1702895115000.0,1390.380859375
1702895031000.0,1364.013671875,1702895295000.0,1348.876953125
1702895211000.0,1387.6953125,1702895475000.0,1342.7734375
1702895391000.0,1364.74609375,1702895655000.0,1344.482421875
1702895571000.0,1339.111328125,1702895835000.0,1376.220703125
1702895751000.0,1373.53515625,1702896015000.0,1344.970703125
1702895931000.0,1373.779296875,1702896195000.0,1353.02734375
1702896111000.0,1402.83203125,1702896375000.0,1351.806640625
1702896291000.0,1391.11328125,1702896555000.0,1348.876953125
1702896471000.0,1319.580078125,1702896735000.0,1361.572265625
1702896651000.0,1391.6015625,1702896915000.0,1347.65625
1702896831000.0,1389.16015625,1702897095000.0,1382.568359375
1702897011000.0,1357.666015625,1702897275000.0,1341.796875
1702897191000.0,1372.802734375,1702897455000.0,1364.990234375
1702897371000.0,1361.81640625,1702897635000.0,1364.990234375
1702897551000.0,1357.91015625,1702897815000.0,1322.998046875
1702897731000.0,1342.041015625,1702897995000.0,1343.017578125
1702897911000.0,1362.548828125,1702898175000.0,1364.013671875
