Machine 1 - 2_Motor DE - 5c1382 date,Machine 1 - 2_Motor DE - 5c1382 rms,Machine 1 - 1_Motor NDE - 5c132d date,Machine 1 - 1_Motor NDE - 5c132d rms
1702940435000,1057.6171875,1702940519000,1093.994140625
1702940615000,1059.08203125,1702940699000,1093.75
1702940795000,1057.6171875,1702940879000,1093.505859375
1702940975000,1058.59375,1702941059000,1093.017578125
1702941155000,1058.10546875,1702941239000,1092.529296875
1702941335000,1060.546875,1702941419000,1093.017578125
1702941515000,1058.10546875,1702941599000,1093.994140625
1702941695000,1061.5234375,1702941779000,1091.796875
1702941875000,1059.326171875,1702941959000,1093.26171875
1702942055000,1056.640625,1702942139000,1092.7734375
1702942235000,1060.302734375,1702942319000,1093.017578125
1702942415000,1058.837890625,1702942499000,1093.017578125
1702942595000,1060.05859375,1702942679000,1093.994140625
1702942775000,1059.5703125,1702942859000,1095.703125
1702942955000,1059.814453125,1702943039000,1093.75
1702943135000,1059.5703125,1702943219000,1093.017578125
1702943315000,1060.302734375,1702943399000,1093.505859375
1702943495000,1060.791015625,1702943579000,1094.482421875
1702943675000,1058.59375,1702943759000,1092.28515625
1702943855000,1056.640625,1702943939000,1092.28515625
1702944035000,1060.05859375,1702944119000,1094.970703125
1702944215000,1060.302734375,1702944299000,1094.7265625
1702944395000,1059.5703125,1702944479000,1093.017578125
1702944575000,1059.326171875,1702944659000,1093.26171875
1702944755000,1059.814453125,1702944839000,1092.7734375
1702944935000,1057.12890625,1702945019000,1095.458984375
1702945115000,1059.08203125,1702945199000,1096.19140625
1702945295000,1060.05859375,1702945379000,1091.796875
1702945475000,1059.08203125,1702945559000,1094.970703125
1702945655000,1058.59375,1702945739000,1093.26171875
1702945835000,1058.837890625,1702945919000,1094.482421875
1702946015000,1062.255859375,1702946099000,1093.994140625
1702946195000,1061.03515625,1702946279000,1093.505859375
1702946375000,1059.326171875,1702946459000,1093.26171875
1702946555000,1056.396484375,1702946639000,1093.26171875
1702946735000,1059.5703125,1702946819000,1094.7265625
1702946915000,1060.302734375,1702946999000,1094.23828125
1702947095000,1060.05859375,1702947179000,1093.26171875
1702947275000,1059.5703125,1702947359000,1094.482421875
1702947455000,1059.326171875,1702947539000,1093.505859375
