Machine 1 - 2_Motor DE - 5c1382 date,Machine 1 - 2_Motor DE - 5c1382 rms,Machine 1 - 1_Motor NDE - 5c132d date,Machine 1 - 1_Motor NDE - 5c132d rms
1701948080000.0,1339.111328125,1701947708000,1092.28515625
1701948478000.0,1339.111328125,1701947933000,1343.505859375
1701948658000.0,1318.115234375,1701948113000,1340.33203125
1701948838000.0,1321.2890625,1701948293000,1338.8671875
1701949018000.0,1364.013671875,1701948473000,1350.830078125
1701949198000.0,1310.302734375,1701948653000,1329.833984375
1701949378000.0,1367.67578125,1701948833000,1316.162109375
1701949558000.0,1327.63671875,1701949013000,1362.548828125
1701949738000.0,1293.45703125,1701949193000,1381.34765625
1701949918000.0,1331.787109375,1701949373000,1347.412109375
1701950098000.0,1327.392578125,1701949553000,1306.884765625
1701950278000.0,1335.44921875,1701949733000,1306.396484375
1701950458000.0,1344.23828125,1701949913000,1301.025390625
1701950638000.0,1342.041015625,1701950093000,1369.384765625
1701950818000.0,1394.775390625,1701950273000,1344.970703125
1701950998000.0,1291.015625,1701950453000,1337.646484375
1701951178000.0,1338.134765625,1701950633000,1328.61328125
1701951358000.0,1351.806640625,1701950813000,1371.58203125
1701951538000.0,1374.0234375,1701950993000,1343.505859375
1701951718000.0,1348.6328125,1701951173000,1325.68359375
1701951898000.0,1346.923828125,1701951353000,1336.9140625
1701952078000.0,1354.98046875,1701951533000,1330.56640625
1701952258000.0,1344.482421875,1701951713000,1335.9375
1701952438000.0,1402.587890625,1701951893000,1334.228515625
1701952618000.0,1315.91796875,1701952073000,1372.802734375
1701952798000.0,1348.6328125,1701952253000,1376.953125
1701952978000.0,1340.087890625,1701952433000,1355.712890625
1701953158000.0,1338.37890625,1701952613000,1309.814453125
1701953338000.0,1352.5390625,1701952793000,1347.900390625
1701953518000.0,1370.60546875,1701952973000,1360.83984375
1701953698000.0,1367.67578125,1701953153000,1320.068359375
1701953878000.0,1364.2578125,1701953333000,1326.66015625
1701954058000.0,1354.4921875,1701953513000,1382.8125
1701954238000.0,1348.388671875,1701953693000,1355.95703125
1702283676000.0,1243.408203125,1702283677000,1302.978515625
1702283856000.0,1322.265625,1702283715000,1302.978515625
1702284036000.0,1329.833984375,1702283895000,1348.388671875
1702284216000.0,1319.091796875,1702284075000,1337.646484375
1702284396000.0,1329.1015625,1702284255000,1328.125
1702284576000.0,1311.279296875,1702284435000,1328.369140625
1702284756000.0,1353.271484375,1702284615000,1337.890625
1702284936000.0,1274.658203125,1702284795000,1362.548828125
1702285116000.0,1279.052734375,1702284975000,1345.947265625
1702285296000.0,1319.82421875,1702285155000,1330.078125
1702285476000.0,1329.58984375,1702285335000,1327.1484375
1702285656000.0,1298.33984375,1702285515000,1306.884765625
1702285836000.0,1320.556640625,1702285695000,1330.810546875
1702286016000.0,1345.703125,1702285875000,1310.546875
1702286196000.0,1330.810546875,1702286055000,1325.927734375
1702286376000.0,1388.427734375,1702286235000,1302.978515625
1702286556000.0,1336.9140625,1702286415000,1327.63671875
1702286736000.0,1374.267578125,1702286595000,1333.251953125
1702286916000.0,1329.345703125,1702286775000,1360.107421875
1702287096000.0,1378.41796875,1702286955000,1328.125
