Machine 1 - 2_Motor DE - 5c1382 date,Machine 1 - 2_Motor DE - 5c1382 rms,Machine 1 - 1_Motor NDE - 5c132d date,Machine 1 - 1_Motor NDE - 5c132d rms
1701936058000.0,1101.07421875,1701935693000,1093.26171875
1701936643000.0,1098.876953125,1701936278000,1093.505859375
1701937228000.0,1100.341796875,1701936908000,1093.017578125
1701937858000.0,1099.12109375,1701937493000,1091.796875
1701938443000.0,1101.318359375,1701938078000,1092.529296875
1701939028000.0,1098.6328125,1701938708000,1093.26171875
1701939658000.0,1097.412109375,1701939293000,1094.482421875
1701940243000.0,1098.876953125,1701939878000,1095.21484375
1701940828000.0,1098.876953125,1701940508000,1092.28515625
1701941458000.0,1102.05078125,1701941093000,1094.482421875
1701942043000.0,1100.5859375,1701941678000,1094.23828125
1701942628000.0,1101.806640625,1701942308000,1093.505859375
1701943258000.0,1101.806640625,1701942893000,1092.28515625
1701943843000.0,1100.5859375,1701943478000,1092.041015625
1701944428000.0,1100.09765625,1701944108000,1093.505859375
1701945058000.0,1099.12109375,1701944693000,1093.505859375
1701945643000.0,1101.5625,1701945278000,1092.28515625
1701946228000.0,1101.806640625,1701945908000,1090.576171875
1701946858000.0,1099.609375,1701946493000,1092.7734375
1701947443000.0,1100.341796875,1701947123000,1094.23828125
1701948080000.0,1339.111328125,1701947708000,1092.28515625
1701948478000.0,1339.111328125,1701947933000,1343.505859375
1701948658000.0,1318.115234375,1701948113000,1340.33203125
1701948838000.0,1321.2890625,1701948293000,1338.8671875
1701949018000.0,1364.013671875,1701948473000,1350.830078125
1701949198000.0,1310.302734375,1701948653000,1329.833984375
1701949378000.0,1367.67578125,1701948833000,1316.162109375
1701949558000.0,1327.63671875,1701949013000,1362.548828125
1701949738000.0,1293.45703125,1701949193000,1381.34765625
1701949918000.0,1331.787109375,1701949373000,1347.412109375
1701950098000.0,1327.392578125,1701949553000,1306.884765625
1701950278000.0,1335.44921875,1701949733000,1306.396484375
1701950458000.0,1344.23828125,1701949913000,1301.025390625
1701950638000.0,1342.041015625,1701950093000,1369.384765625
1701950818000.0,1394.775390625,1701950273000,1344.970703125
1701950998000.0,1291.015625,1701950453000,1337.646484375
1701951178000.0,1338.134765625,1701950633000,1328.61328125
1701951358000.0,1351.806640625,1701950813000,1371.58203125
1701951538000.0,1374.0234375,1701950993000,1343.505859375
1701951718000.0,1348.6328125,1701951173000,1325.68359375
1701951898000.0,1346.923828125,1701951353000,1336.9140625
1701952078000.0,1354.98046875,1701951533000,1330.56640625
1701952258000.0,1344.482421875,1701951713000,1335.9375
1701952438000.0,1402.587890625,1701951893000,1334.228515625
1701952618000.0,1315.91796875,1701952073000,1372.802734375
1701952798000.0,1348.6328125,1701952253000,1376.953125
1701952978000.0,1340.087890625,1701952433000,1355.712890625
1701953158000.0,1338.37890625,1701952613000,1309.814453125
1701953338000.0,1352.5390625,1701952793000,1347.900390625
1701953518000.0,1370.60546875,1701952973000,1360.83984375
1701953698000.0,1367.67578125,1701953153000,1320.068359375
1701953878000.0,1364.2578125,1701953333000,1326.66015625
1701954058000.0,1354.4921875,1701953513000,1382.8125
1701954238000.0,1348.388671875,1701953693000,1355.95703125
1701954418000.0,1050.29296875,1701953873000,1366.943359375
1701954598000.0,1048.828125,1701954053000,1320.80078125
1701954778000.0,1049.8046875,1701954233000,1366.455078125
1701954958000.0,1050.78125,1701954413000,1333.740234375
1701955137000.0,1050.537109375,1701954593000,1088.623046875
1701955317000.0,1048.33984375,1701954773000,1086.669921875
1701955497000.0,1050.78125,1701954953000,1085.693359375
1701955677000.0,1050.048828125,1701955133000,1089.111328125
1701955857000.0,1050.537109375,1701955313000,1087.40234375
1701956037000.0,1050.29296875,1701955493000,1088.37890625
1701956217000.0,1050.048828125,1701955672000,1090.33203125
1701956397000.0,1053.466796875,1701955852000,1090.087890625
1701956577000.0,1051.513671875,1701956032000,1087.890625
1701956757000.0,1049.560546875,1701956212000,1088.134765625
1701956937000.0,1051.7578125,1701956392000,1089.84375
1701957117000.0,1052.001953125,1701956572000,1088.623046875
1701957297000.0,1051.513671875,1701956752000,1089.84375
1701957477000.0,1051.26953125,1701956932000,1087.890625
1701957657000.0,1050.537109375,1701957112000,1089.35546875
1701957837000.0,1052.24609375,1701957292000,1087.890625
1701958017000.0,1051.025390625,1701957472000,1087.890625
1701958197000.0,1054.443359375,1701957652000,1089.599609375
1701958377000.0,1050.29296875,1701957832000,1088.623046875
1701958557000.0,1049.560546875,1701958012000,1088.8671875
1701958737000.0,1050.048828125,1701958192000,1089.84375
1701958917000.0,1051.513671875,1701958372000,1088.134765625
1701959097000.0,1052.24609375,1701958552000,1088.8671875
1701959277000.0,1050.78125,1701958732000,1090.8203125
1701959457000.0,1052.24609375,1701958912000,1090.33203125
1701959637000.0,1050.537109375,1701959092000,1089.84375
1701959817000.0,1051.513671875,1701959272000,1088.623046875
1701959998000.0,1052.490234375,1701959453000,1090.087890625
1701960043000.0,1052.734375,1701959497000,1090.087890625
1701960087000.0,1052.734375,1701959677000,1090.087890625
1701960267000.0,1052.490234375,1701959857000,1090.576171875
1701960447000.0,1052.24609375,1701960037000,1090.8203125
1701960627000.0,1052.001953125,1701960217000,1089.84375
1701960807000.0,1052.978515625,1701960397000,1090.087890625
1701960987000.0,1052.734375,1701960577000,1091.30859375
1701961167000.0,1052.490234375,1701960757000,1091.30859375
1701961347000.0,1051.513671875,1701960937000,1089.35546875
1701961527000.0,1052.490234375,1701961117000,1089.111328125
1701961707000.0,1051.7578125,1701961297000,1091.796875
1701961887000.0,1052.490234375,1701961477000,1089.599609375
