Machine 1 - 2_Motor DE - 5c1382 date,Machine 1 - 2_Motor DE - 5c1382 rms,Machine 1 - 1_Motor NDE - 5c132d date,Machine 1 - 1_Motor NDE - 5c132d rms
1702715447000,1284.66796875,1702715081000,1179.19921875
1702715485000,1284.66796875,1702715119000,1179.19921875
1702715665000,1287.59765625,1702715299000,1326.904296875
1702715845000,1350.5859375,1702715479000,1331.54296875
1702716025000,1311.03515625,1702715659000,1342.7734375
1702716205000,1349.609375,1702715839000,1322.509765625
1702716385000,1335.9375,1702716019000,1333.251953125
1702716565000,1309.08203125,1702716199000,1298.583984375
1702716745000,1269.287109375,1702716379000,1312.744140625
1702716925000,1280.517578125,1702716559000,1318.359375
1702717105000,1327.880859375,1702716739000,1306.884765625
1702717285000,1307.373046875,1702716919000,1371.58203125
1702717465000,1283.447265625,1702717099000,1332.275390625
1702717645000,1303.466796875,1702717279000,1352.294921875
1702717825000,1344.23828125,1702717459000,1329.58984375
1702718005000,1298.828125,1702717639000,1317.626953125
1702718185000,1331.54296875,1702717819000,1327.63671875
1702718365000,1311.767578125,1702717999000,1305.908203125
1702718545000,1293.212890625,1702718179000,1347.16796875
1702718725000,1372.802734375,1702718359000,1380.126953125
1702718905000,1307.861328125,1702718539000,1314.208984375
1702719085000,1366.943359375,1702718719000,1342.28515625
1702719265000,1298.828125,1702718899000,1349.853515625
1702719445000,1302.001953125,1702719079000,1303.955078125
1702719625000,1350.09765625,1702719259000,1339.35546875
1702719805000,1346.19140625,1702719439000,1375.48828125
1702719985000,1302.734375,1702719619000,1305.6640625
1702720165000,1340.576171875,1702719799000,1317.3828125
1702720345000,1302.978515625,1702719979000,1317.138671875
1702720525000,1373.779296875,1702720159000,1345.947265625
1702720705000,1333.251953125,1702720339000,1305.6640625
1702720885000,1294.921875,1702720519000,1334.228515625
1702721065000,1372.0703125,1702720699000,1331.298828125
1702721245000,1338.37890625,1702720879000,1311.767578125
1702721425000,1360.595703125,1702721059000,1313.96484375
1702721605000,1306.640625,1702721239000,1327.63671875
1702721785000,1349.853515625,1702721419000,1303.7109375
1702721965000,1351.07421875,1702721599000,1292.48046875
1702722145000,1367.919921875,1702721779000,1297.119140625
1702722325000,1312.255859375,1702721959000,1308.59375
1702722505000,1320.80078125,1702722139000,1298.095703125
1702722685000,1338.8671875,1702722319000,1344.7265625
1702722865000,1333.740234375,1702722499000,1371.337890625
1702723045000,1305.17578125,1702722679000,1352.5390625
1702723225000,1299.31640625,1702722859000,1347.900390625
1702723405000,1329.58984375,1702723039000,1326.171875
1702723585000,1304.19921875,1702723219000,1319.580078125
1702723765000,1323.974609375,1702723399000,1334.47265625
1702723945000,1329.1015625,1702723579000,1316.650390625
1702724125000,1329.58984375,1702723759000,1341.30859375
1702724305000,1336.181640625,1702723939000,1333.49609375
1702724485000,1373.291015625,1702724119000,1315.91796875
1702724665000,1370.60546875,1702724299000,1347.900390625
1702724845000,1392.333984375,1702724479000,1314.697265625
1702725025000,1365.478515625,1702724659000,1304.931640625
1702725205000,1361.81640625,1702724839000,1325.439453125
1702725385000,1353.02734375,1702725019000,1338.37890625
1702725565000,1324.462890625,1702725199000,1307.373046875
1702725745000,1354.4921875,1702725379000,1285.400390625
1702725925000,1311.03515625,1702725559000,1339.35546875
1702726105000,1371.09375,1702725739000,1315.91796875
1702726285000,1330.078125,1702725919000,1323.2421875
1702726465000,1359.86328125,1702726099000,1336.9140625
1702726645000,1331.0546875,1702726279000,1317.626953125
1702726825000,1276.3671875,1702726459000,1344.23828125
1702727050000,1298.33984375,1702726684000,1365.966796875
1702727455000,1343.505859375,1702727089000,1355.712890625
1702727500000,1343.505859375,1702727134000,1355.712890625
1702727680000,1295.166015625,1702727314000,1344.23828125
1702727860000,1339.84375,1702727494000,1331.298828125
1702728040000,1342.529296875,1702727674000,1319.091796875
1702728220000,1363.76953125,1702727854000,1309.08203125
1702728400000,1352.05078125,1702728034000,1361.572265625
1702728580000,1336.181640625,1702728214000,1316.162109375
1702728760000,1374.267578125,1702728394000,1340.576171875
1702728940000,1312.5,1702728574000,1350.341796875
1702729120000,1332.51953125,1702728754000,1318.603515625
1702729300000,1388.671875,1702728934000,1338.134765625
1702729480000,1372.55859375,1702729114000,1362.3046875
1702729660000,1350.09765625,1702729294000,1341.30859375
1702729840000,1367.919921875,1702729474000,1296.142578125
1702730020000,1342.529296875,1702729654000,1328.61328125
1702730200000,1347.65625,1702729834000,1335.693359375
1702730380000,1333.740234375,1702730014000,1344.7265625
1702730560000,1397.94921875,1702730194000,1335.205078125
1702730740000,1339.35546875,1702730374000,1326.66015625
1702730920000,1399.4140625,1702730554000,1334.228515625
1702731100000,1325.927734375,1702730734000,1354.248046875
1702731280000,1342.529296875,1702730914000,1315.4296875
1702731460000,1373.53515625,1702731094000,1319.3359375
1702731640000,1327.1484375,1702731274000,1315.185546875
1702731820000,1328.857421875,1702731454000,1335.44921875
1702732000000,1362.3046875,1702731634000,1337.646484375
1702732180000,1373.046875,1702731814000,1342.529296875
1702732360000,1347.65625,1702731994000,1325.439453125
1702732540000,1349.853515625,1702732174000,1334.47265625
1702732720000,1354.736328125,1702732354000,1362.3046875
1702732900000,1337.40234375,1702732534000,1360.83984375
1702733080000,1370.361328125,1702732714000,1351.806640625
1702733260000,1312.5,1702732894000,1333.251953125
1702733440000,1380.126953125,1702733074000,1315.4296875
1702733620000,1353.515625,1702733254000,1348.14453125
1702733800000,1365.478515625,1702733434000,1302.001953125
1702733980000,1352.294921875,1702733614000,1346.435546875
1702734160000,1342.28515625,1702733794000,1314.697265625
1702734340000,1355.46875,1702733974000,1333.251953125
1702734520000,1306.396484375,1702734154000,1344.23828125
1702734700000,1364.2578125,1702734334000,1311.279296875
1702734880000,1340.8203125,1702734514000,1308.349609375
1702735060000,1352.294921875,1702734694000,1351.5625
1702735240000,1328.125,1702734874000,1364.2578125
1702735420000,1301.26953125,1702735054000,1298.33984375
1702735600000,1357.177734375,1702735234000,1341.552734375
1702735780000,1389.404296875,1702735414000,1315.91796875
1702735960000,1364.2578125,1702735594000,1328.125
1702736140000,1341.552734375,1702735774000,1360.3515625
1702736320000,1333.0078125,1702735954000,1299.8046875
1702736500000,1403.80859375,1702736134000,1324.951171875
1702736680000,1378.90625,1702736314000,1383.056640625
1702736860000,1314.94140625,1702736494000,1307.12890625
1702737040000,1316.162109375,1702736674000,1301.7578125
1702737220000,1371.826171875,1702736854000,1332.763671875
1702737400000,1362.060546875,1702737034000,1345.21484375
1702737580000,1429.6875,1702737214000,1338.37890625
1702737760000,1324.70703125,1702737394000,1343.75
1702737940000,1339.599609375,1702737574000,1292.48046875
1702738120000,1319.82421875,1702737754000,1354.736328125
1702738300000,1336.42578125,1702737934000,1330.56640625
1702738480000,1343.505859375,1702738114000,1354.4921875
1702738660000,1381.8359375,1702738294000,1318.84765625
1702738840000,1346.923828125,1702738474000,1325.439453125
1702739020000,1333.984375,1702738654000,1352.5390625
1702739065000,1333.984375,1702738699000,1352.5390625
1702739245000,1328.125,1702738879000,1344.970703125
1702739425000,1319.091796875,1702739059000,1337.646484375
1702739605000,1353.515625,1702739239000,1311.279296875
1702739785000,1335.693359375,1702739419000,1304.19921875
1702739965000,1311.5234375,1702739599000,1334.9609375
1702740145000,1326.904296875,1702739779000,1326.904296875
1702740325000,1402.587890625,1702739959000,1290.771484375
1702740505000,1310.05859375,1702740139000,1327.1484375
1702740685000,1334.47265625,1702740319000,1329.833984375
1702740865000,1310.302734375,1702740499000,1325.1953125
1702741045000,1320.556640625,1702740679000,1354.736328125
1702741225000,1331.54296875,1702740859000,1372.802734375
1702741405000,1340.576171875,1702741039000,1326.171875
1702741585000,1314.453125,1702741219000,1320.80078125
1702741765000,1311.03515625,1702741399000,1330.56640625
1702741945000,1380.37109375,1702741579000,1325.1953125
1702742125000,1353.02734375,1702741758000,1336.181640625
1702742305000,1338.623046875,1702741938000,1333.49609375
1702742485000,1361.328125,1702742118000,1312.98828125
1702742665000,1385.498046875,1702742298000,1317.87109375
1702742845000,1339.599609375,1702742478000,1299.8046875
1702743025000,1364.013671875,1702742658000,1310.546875
1702743205000,1358.88671875,1702742838000,1338.37890625
1702743385000,1400.634765625,1702743018000,1351.806640625
1702743565000,1334.228515625,1702743198000,1353.515625
1702743745000,1322.75390625,1702743378000,1370.849609375
1702743925000,1346.435546875,1702743558000,1326.171875
1702744105000,1396.240234375,1702743738000,1325.927734375
1702744285000,1375.9765625,1702743918000,1337.890625
1702744465000,1321.044921875,1702744098000,1399.169921875
1702744645000,1048.33984375,1702744278000,1314.697265625
1702744825000,1047.607421875,1702744458000,1312.01171875
1702745005000,1050.537109375,1702744638000,1083.740234375
1702745185000,1045.8984375,1702744818000,1085.44921875
1702745365000,1048.583984375,1702744998000,1084.9609375
1702745545000,1048.583984375,1702745178000,1085.9375
1702745725000,1048.095703125,1702745358000,1087.40234375
1702745904000,1049.8046875,1702745538000,1086.669921875
1702746084000,1050.29296875,1702745718000,1085.44921875
1702746264000,1049.8046875,1702745898000,1087.158203125
1702746444000,1049.560546875,1702746078000,1086.669921875
1702746624000,1047.8515625,1702746258000,1085.9375
1702746804000,1051.025390625,1702746438000,1087.890625
1702746984000,1050.537109375,1702746618000,1087.646484375
1702747164000,1050.29296875,1702746798000,1087.890625
1702747344000,1051.26953125,1702746978000,1086.9140625
1702747524000,1048.33984375,1702747158000,1088.134765625
1702747704000,1052.490234375,1702747338000,1087.40234375
1702747884000,1051.025390625,1702747518000,1088.623046875
1702748064000,1051.513671875,1702747698000,1089.599609375
1702748244000,1050.537109375,1702747878000,1087.890625
1702748424000,1052.24609375,1702748058000,1089.35546875
1702748604000,1051.025390625,1702748238000,1089.599609375
1702748784000,1052.490234375,1702748418000,1086.669921875
1702748964000,1050.29296875,1702748598000,1088.8671875
1702749144000,1052.24609375,1702748778000,1086.669921875
1702749324000,1050.78125,1702748958000,1088.8671875
1702749504000,1051.513671875,1702749138000,1085.44921875
1702749684000,1051.7578125,1702749318000,1090.8203125
1702749864000,1052.24609375,1702749498000,1089.35546875
1702750044000,1050.537109375,1702749678000,1088.8671875
1702750224000,1052.734375,1702749858000,1088.134765625
1702750404000,1052.001953125,1702750038000,1089.84375
1702750584000,1053.466796875,1702750218000,1087.890625
1702750764000,1051.513671875,1702750398000,1091.30859375
1702750944000,1053.466796875,1702750578000,1090.8203125
1702751124000,1052.490234375,1702750758000,1090.576171875
1702751304000,1052.734375,1702750938000,1090.33203125
1702751484000,1054.443359375,1702751118000,1089.35546875
1702751664000,1055.6640625,1702751298000,1091.064453125
1702751844000,1052.734375,1702751478000,1088.37890625
1702752024000,1054.931640625,1702751658000,1090.8203125
1702752204000,1052.001953125,1702751838000,1089.599609375
1702752384000,1053.466796875,1702752018000,1090.33203125
1702752564000,1054.931640625,1702752198000,1088.37890625
1702752744000,1053.955078125,1702752378000,1090.576171875
1702752924000,1054.931640625,1702752558000,1090.087890625
1702753104000,1054.931640625,1702752738000,1092.28515625
1702753284000,1055.6640625,1702752918000,1089.111328125
1702753464000,1055.419921875,1702753098000,1092.041015625
1702753644000,1055.17578125,1702753278000,1091.30859375
1702753824000,1055.419921875,1702753458000,1091.064453125
1702754004000,1055.908203125,1702753638000,1091.064453125
1702754184000,1052.978515625,1702753818000,1091.796875
1702754364000,1055.17578125,1702753998000,1089.599609375
1702754544000,1055.6640625,1702754178000,1091.552734375
1702754724000,1054.6875,1702754358000,1089.599609375
1702754904000,1057.373046875,1702754538000,1090.087890625
1702755084000,1055.17578125,1702754718000,1093.26171875
1702755264000,1055.908203125,1702754898000,1089.84375
1702755444000,1055.908203125,1702755078000,1090.8203125
1702755624000,1057.6171875,1702755258000,1091.30859375
1702755804000,1056.396484375,1702755438000,1091.552734375
1702755984000,1055.908203125,1702755618000,1091.552734375
1702756164000,1055.419921875,1702755798000,1090.8203125
1702756344000,1056.15234375,1702755978000,1093.017578125
1702756524000,1055.6640625,1702756158000,1091.796875
1702756704000,1054.931640625,1702756338000,1090.8203125
1702756884000,1056.15234375,1702756518000,1093.26171875
1702757064000,1054.931640625,1702756698000,1092.529296875
1702757244000,1055.419921875,1702756878000,1092.7734375
1702757424000,1057.373046875,1702757058000,1092.28515625
1702757604000,1057.6171875,1702757238000,1091.064453125
1702757784000,1057.373046875,1702757418000,1092.7734375
1702757964000,1056.640625,1702757598000,1089.599609375
1702758144000,1057.6171875,1702757778000,1090.576171875
1702758324000,1058.10546875,1702757958000,1092.041015625
1702758504000,1055.17578125,1702758138000,1091.796875
1702758684000,1057.6171875,1702758318000,1090.8203125
1702758864000,1058.349609375,1702758498000,1092.28515625
1702759044000,1058.349609375,1702758678000,1092.529296875
1702759224000,1056.15234375,1702758858000,1091.796875
1702759404000,1055.908203125,1702759038000,1091.30859375
1702759584000,1055.908203125,1702759218000,1093.017578125
1702759764000,1056.640625,1702759398000,1092.28515625
1702759944000,1058.349609375,1702759578000,1094.23828125
1702760124000,1056.884765625,1702759758000,1094.482421875
1702760304000,1057.373046875,1702759938000,1093.017578125
1702760484000,1057.6171875,1702760118000,1092.529296875
1702760664000,1058.10546875,1702760298000,1092.28515625
1702760844000,1056.396484375,1702760478000,1092.529296875
1702761024000,1057.6171875,1702760658000,1093.75
1702761204000,1058.349609375,1702760838000,1091.30859375
1702761384000,1057.12890625,1702761018000,1092.041015625
1702761564000,1056.884765625,1702761198000,1093.017578125
1702761744000,1057.6171875,1702761378000,1093.017578125
1702761924000,1059.814453125,1702761558000,1091.552734375
1702762104000,1058.837890625,1702761738000,1092.28515625
1702762149000,1058.837890625,1702761783000,1092.28515625
1702762329000,1059.814453125,1702761963000,1093.017578125
1702762509000,1057.6171875,1702762143000,1092.529296875
1702762689000,1056.640625,1702762323000,1093.017578125
1702762869000,1057.373046875,1702762503000,1093.505859375
1702763049000,1057.6171875,1702762683000,1091.064453125
1702763229000,1058.837890625,1702762863000,1095.458984375
1702763409000,1059.814453125,1702763043000,1090.576171875
1702763589000,1058.59375,1702763223000,1093.994140625
1702763769000,1059.5703125,1702763403000,1091.064453125
1702763949000,1059.326171875,1702763583000,1092.7734375
1702764129000,1058.10546875,1702763763000,1093.26171875
1702764309000,1057.861328125,1702763943000,1091.552734375
1702764489000,1058.59375,1702764123000,1094.23828125
1702764669000,1057.861328125,1702764303000,1092.28515625
1702764849000,1058.837890625,1702764483000,1093.75
1702765029000,1059.08203125,1702764663000,1094.970703125
1702765209000,1061.03515625,1702764843000,1093.75
1702765389000,1057.6171875,1702765023000,1090.576171875
1702765569000,1058.837890625,1702765203000,1093.017578125
1702765749000,1060.546875,1702765383000,1093.994140625
