Machine 1 - 2_Motor DE - 5c1382 date,Machine 1 - 2_Motor DE - 5c1382 rms,Machine 1 - 1_Motor NDE - 5c132d date,Machine 1 - 1_Motor NDE - 5c132d rms
1700901039000,1293.45703125,1700900727000,1307.861328125
1700901219000,1312.98828125,1700900765000,1307.861328125
1700901399000,1326.416015625,1700900945000,1278.3203125
1700901579000,1265.13671875,1700901125000,1296.38671875
1700901759000,1263.18359375,1700901305000,1289.55078125
1700901939000,1266.6015625,1700901485000,1316.162109375
1700902119000,1307.6171875,1700901665000,1311.767578125
1700902299000,1273.92578125,1700901845000,1329.833984375
1700902479000,1260.009765625,1700902025000,1287.59765625
1700902659000,1327.1484375,1700902205000,1281.494140625
1700902839000,1300.29296875,1700902385000,1302.734375
1700903019000,1304.443359375,1700902565000,1299.560546875
1700903199000,1307.861328125,1700902745000,1319.3359375
1700903379000,1317.3828125,1700902925000,1273.4375
1700903559000,1295.41015625,1700903105000,1283.69140625
1700903739000,1349.365234375,1700903285000,1285.64453125
1700903919000,1333.0078125,1700903465000,1308.837890625
1700904099000,1317.626953125,1700903645000,1277.587890625
1700904279000,1300.048828125,1700903825000,1291.015625
1700904459000,1283.203125,1700904005000,1313.96484375
1700904639000,1258.7890625,1700904185000,1279.78515625
1700904819000,1293.212890625,1700904365000,1307.6171875
1700904999000,1302.978515625,1700904545000,1290.52734375
1700905179000,1367.919921875,1700904725000,1300.048828125
1700905359000,1312.5,1700904905000,1285.400390625
1700905539000,1364.74609375,1700905085000,1266.845703125
1700905719000,1322.509765625,1700905265000,1281.25
1700905899000,1323.486328125,1700905445000,1285.64453125
1700906079000,1343.75,1700905625000,1320.3125
1700906259000,1310.302734375,1700905805000,1296.875
1700906439000,1281.982421875,1700905985000,1315.673828125
1700906619000,1344.482421875,1700906165000,1299.560546875
1700906799000,1308.59375,1700906345000,1302.001953125
1700906979000,1292.96875,1700906525000,1273.4375
1700907159000,1314.94140625,1700906705000,1286.62109375
1700907339000,1358.642578125,1700906885000,1291.9921875
1700907519000,1274.4140625,1700907065000,1315.4296875
1700907699000,1385.498046875,1700907245000,1311.5234375
1700907879000,1293.212890625,1700907425000,1302.001953125
1700908059000,1312.98828125,1700907605000,1309.814453125
1700908239000,1349.12109375,1700907785000,1280.2734375
1700908419000,1261.71875,1700907965000,1312.01171875
1700908599000,1344.482421875,1700908145000,1312.98828125
1700908779000,1343.017578125,1700908325000,1277.099609375
1700908959000,1357.421875,1700908505000,1312.98828125
1700909139000,1337.158203125,1700908685000,1306.884765625
1700909319000,1329.58984375,1700908865000,1274.90234375
1700909499000,1366.943359375,1700909045000,1297.607421875
1700909679000,1355.95703125,1700909225000,1282.958984375
1700909859000,1322.998046875,1700909405000,1320.80078125
1700910039000,1276.611328125,1700909585000,1294.921875
1700910219000,1294.921875,1700909765000,1299.560546875
1700910399000,1305.17578125,1700909945000,1309.326171875
1700910579000,1334.716796875,1700910125000,1322.265625
1700910759000,1344.7265625,1700910305000,1322.509765625
1700910939000,1274.90234375,1700910485000,1278.80859375
1700911119000,1314.94140625,1700910665000,1293.9453125
1700911299000,1293.212890625,1700910845000,1287.109375
1700911479000,1366.69921875,1700911025000,1290.771484375
1700911659000,1336.42578125,1700911205000,1322.998046875
1700911839000,1338.134765625,1700911385000,1296.38671875
1700912019000,1332.03125,1700911565000,1297.119140625
1700912199000,1324.21875,1700911745000,1281.73828125
1700912379000,1347.900390625,1700911925000,1284.66796875
1700912604000,1309.326171875,1700912105000,1293.212890625
1700913009000,1309.326171875,1700912330000,1327.1484375
1700913189000,1316.162109375,1700912735000,1285.15625
1700913369000,1334.47265625,1700912780000,1285.15625
1700913549000,1358.642578125,1700912960000,1298.828125
1700913729000,1324.21875,1700913140000,1294.677734375
1700913909000,1358.3984375,1700913320000,1294.921875
1700914089000,1401.611328125,1700913500000,1292.48046875
1700914269000,1403.3203125,1700913680000,1304.931640625
1700914449000,1335.9375,1700913860000,1312.255859375
1700914629000,1361.328125,1700914040000,1304.19921875
1700914809000,1329.833984375,1700914220000,1299.560546875
1700914989000,1312.744140625,1700914400000,1316.40625
1700915169000,1365.966796875,1700914580000,1311.5234375
1700915349000,1376.708984375,1700914760000,1294.43359375
1700915529000,1290.0390625,1700914940000,1283.447265625
1700915709000,1331.787109375,1700915120000,1293.45703125
1700915889000,1302.24609375,1700915300000,1316.162109375
1700916069000,1362.060546875,1700915480000,1314.697265625
1700916249000,1391.6015625,1700915660000,1289.794921875
,,1700915840000,1317.3828125
,,1700916020000,1288.330078125
,,1700916200000,1301.26953125
,,1700916380000,1107.91015625
