date,temperature
1702854302000,15.8
1702854887000,15.8
1702855472000,15.8
1702856057000,15.8
1702856687000,15.8
1702857272000,15.8
1702857857000,15.8
1702858487000,15.8
1702859072000,15.8
1702859657000,15.8
1702860287000,15.8
1702860872000,15.8
1702861457000,15.8
1702862087000,15.8
1702862672000,15.8
1702863257000,15.8
1702863887000,15.8
1702864472000,15.8
1702865057000,15.8
1702865687000,15.8
1702866272000,15.8
1702866857000,15.8
1702867487000,15.8
1702868072000,15.8
1702868657000,15.8
1702869287000,15.8
1702869872000,15.8
1702870457000,15.9
1702871087000,15.9
1702871671000,15.9
1702872256000,15.9
1702872886000,15.9
1702873471000,15.9
1702874056000,15.9
1702874686000,15.9
1702875271000,15.9
1702875856000,15.9
1702876486000,15.9
1702877071000,15.9
1702877656000,15.9
1702878286000,16
1702878871000,16
1702879456000,16.1
1702880086000,16.1
1702880671000,16.2
1702881256000,16.2
1702881886000,16.3
1702882471000,16.3
1702883056000,16.4
1702883686000,16.4
1702884271000,16.4
1702884856000,16.5
1702885486000,16.6
1702886071000,16.6
1702886656000,16.6
1702887286000,16.6
1702887871000,16.7
1702888456000,16.7
1702889086000,16.7
1702889678000,17.2
1702889716000,17.2
1702889761000,17.3
1702889806000,17.4
1702889851000,17.5
1702889896000,17.6
1702889941000,17.6
1702889986000,17.7
1702890031000,17.8
1702890076000,17.9
1702890121000,17.9
1702890166000,18
1702890211000,18.1
1702890256000,18.2
1702890301000,18.2
1702890346000,18.3
1702890391000,18.4
1702890436000,18.5
1702890481000,18.6
1702890526000,18.6
1702890571000,18.7
1702890616000,18.7
1702890661000,18.8
1702890706000,18.9
1702890751000,19
1702890796000,19.1
1702890841000,19.1
1702890886000,19.2
1702890931000,19.2
1702890976000,19.3
1702891021000,19.4
1702891066000,19.4
1702891111000,19.6
1702891156000,19.6
1702891201000,19.6
1702891246000,19.7
1702891291000,19.8
1702891336000,19.9
1702891381000,19.9
1702891426000,19.9
1702891471000,20.1
1702891516000,20.1
1702891561000,20.2
1702891606000,20.2
1702891651000,20.2
1702891696000,20.4
1702891741000,20.4
1702891786000,20.4
1702891831000,20.5
1702891876000,20.6
1702891921000,20.6
1702891966000,20.7
1702892011000,20.7
1702892056000,20.8
1702892101000,20.9
1702892146000,20.9
1702892191000,20.9
1702892236000,21.1
1702892281000,21.1
1702892326000,21.1
1702892371000,21.2
1702892416000,21.2
1702892461000,21.2
1702892506000,21.3
1702892551000,21.4
1702892596000,21.4
1702892641000,21.5
1702892686000,21.5
1702892731000,21.6
1702892776000,21.6
1702892821000,21.6
1702892866000,21.7
1702892911000,21.7
1702892956000,21.8
1702893001000,21.9
1702893046000,21.9
1702893091000,21.9
1702893270000,22.1
1702893315000,22.1
1702893360000,22.2
1702893405000,22.2
1702893450000,22.2
1702893495000,22.3
1702893540000,22.4
1702893585000,22.4
1702893630000,22.4
1702893675000,22.5
1702893720000,22.5
1702893765000,22.6
1702893810000,22.6
1702893855000,22.6
1702893900000,22.7
1702893945000,22.7
1702893990000,22.7
1702894035000,22.7
1702894080000,22.8
1702894125000,22.8
1702894170000,22.9
1702894215000,22.9
1702894260000,23
1702894305000,23
1702894350000,23.1
1702894395000,23.1
1702894440000,23.1
1702894485000,23.1
1702894530000,23.2
1702894575000,23.2
1702894620000,23.2
1702894665000,23.2
1702894710000,23.3
1702894755000,23.3
1702894800000,23.4
1702894845000,23.4
