date,temperature
1702940429000,19.8
1702940474000,19.8
1702940519000,19.8
1702940564000,19.8
1702940609000,19.8
1702940654000,19.8
1702940699000,19.8
1702940744000,19.8
1702940789000,19.7
1702940834000,19.7
1702940879000,19.7
1702940924000,19.7
1702940969000,19.8
1702941014000,19.8
1702941059000,19.8
1702941104000,19.8
1702941149000,19.7
1702941194000,19.7
1702941239000,19.8
1702941284000,19.8
1702941329000,19.7
1702941374000,19.7
1702941419000,19.8
1702941464000,19.8
1702941509000,19.8
1702941554000,19.8
1702941599000,19.7
1702941644000,19.7
1702941689000,19.6
1702941734000,19.6
1702941779000,19.7
1702941824000,19.7
1702941869000,19.7
1702941914000,19.7
1702941959000,19.7
1702942004000,19.7
1702942049000,19.8
1702942094000,19.8
1702942139000,19.8
1702942184000,19.8
1702942229000,19.9
1702942274000,19.9
1702942319000,19.6
1702942364000,19.6
1702942409000,19.7
1702942454000,19.7
1702942499000,19.7
1702942544000,19.7
1702942589000,19.6
1702942634000,19.6
1702942679000,19.7
1702942724000,19.7
1702942769000,19.6
1702942814000,19.6
1702942859000,19.6
1702942904000,19.6
1702942949000,19.7
1702942994000,19.7
1702943039000,19.6
1702943084000,19.6
1702943129000,19.7
1702943174000,19.7
1702943219000,19.7
1702943264000,19.7
1702943309000,19.6
1702943354000,19.6
1702943399000,19.6
1702943444000,19.6
1702943489000,19.6
1702943534000,19.6
1702943579000,19.6
1702943624000,19.6
1702943669000,19.5
1702943714000,19.5
1702943759000,19.8
1702943804000,19.8
1702943849000,19.5
1702943894000,19.5
1702943939000,19.5
1702943984000,19.5
1702944029000,19.6
1702944074000,19.6
1702944119000,19.6
1702944164000,19.6
1702944209000,19.5
1702944254000,19.5
1702944299000,19.6
1702944344000,19.6
1702944389000,19.5
1702944434000,19.5
1702944479000,19.6
1702944524000,19.6
1702944569000,19.6
1702944614000,19.6
1702944659000,19.6
1702944704000,19.6
1702944749000,19.6
1702944794000,19.6
1702944839000,19.5
1702944884000,19.5
1702944929000,19.5
1702944974000,19.5
1702945019000,19.6
1702945064000,19.6
1702945109000,19.5
1702945154000,19.5
1702945199000,19.5
1702945244000,19.5
1702945289000,19.6
1702945334000,19.6
1702945379000,19.6
1702945424000,19.6
1702945469000,19.5
1702945514000,19.5
1702945559000,19.5
1702945604000,19.5
1702945649000,19.5
1702945694000,19.5
1702945739000,19.6
1702945784000,19.6
1702945829000,19.4
1702945874000,19.4
1702945919000,19.6
1702945964000,19.6
1702946009000,19.6
1702946054000,19.6
1702946099000,19.5
1702946144000,19.5
1702946189000,19.4
1702946234000,19.4
1702946279000,19.6
1702946324000,19.6
1702946369000,19.6
1702946414000,19.6
1702946459000,19.4
1702946504000,19.4
1702946549000,19.5
1702946594000,19.5
1702946639000,19.6
1702946684000,19.6
1702946729000,19.6
1702946774000,19.6
1702946819000,19.4
1702946864000,19.4
1702946909000,19.5
1702946954000,19.5
1702946999000,19.5
1702947044000,19.5
1702947089000,19.4
1702947134000,19.4
1702947179000,19.5
1702947224000,19.5
1702947269000,19.4
1702947314000,19.4
1702947359000,19.5
1702947404000,19.5
1702947449000,19.4
1702947494000,19.4
1702947539000,19.5
1702947584000,19.5
1702947629000,19.5
1702947674000,19.5
1702947719000,19.4
1702947764000,19.4
1702947809000,19.4
1702947854000,19.4
1702947944000,19.5
1702947989000,19.5
1702948034000,19.5
1702948079000,19.5
1702948124000,19.5
1702948169000,19.6
1702948214000,19.6
1702948259000,19.5
1702948304000,19.5
1702948349000,19.6
1702948394000,19.6
1702948439000,19.5
1702948484000,19.5
1702948529000,19.4
1702948574000,19.4
1702948619000,19.5
1702948664000,19.5
1702948709000,19.4
1702948754000,19.4
1702948799000,19.6
1702948844000,19.6
1702948889000,19.4
1702948934000,19.4
1702948979000,19.5
1702949024000,19.5
1702949069000,19.4
1702949114000,19.4
1702949159000,19.4
1702949204000,19.4
1702949249000,19.4
1702949294000,19.4
1702949339000,19.4
1702949384000,19.4
1702949429000,19.5
1702949474000,19.5
1702949519000,19.4
1702949564000,19.4
1702949609000,19.5
1702949654000,19.5
1702949699000,19.4
1702949744000,19.4
1702949789000,19.4
1702949834000,19.4
1702949879000,19.5
1702949924000,19.5
1702949969000,19.6
1702950014000,19.6
1702950059000,19.4
1702950104000,19.4
1702950149000,19.5
1702950194000,19.5
1702950239000,19.4
1702950284000,19.4
1702950329000,19.4
1702950374000,19.4
1702950419000,19.5
1702950464000,19.5
1702950509000,19.5
1702950554000,19.5
1702950599000,19.5
1702950644000,19.5
1702950689000,19.5
1702950734000,19.5
1702950779000,19.6
1702950824000,19.6
1702950869000,19.4
1702950914000,19.4
1702950959000,19.4
1702951004000,19.4
1702951049000,19.4
1702951094000,19.4
1702951139000,19.4
1702951184000,19.4
1702951229000,19.4
1702951274000,19.4
1702951319000,19.2
1702951364000,19.2
1702951409000,19.3
1702951454000,19.3
1702951499000,19.4
1702951544000,19.4
1702951589000,19.6
1702951634000,19.6
1702951679000,19.5
1702951724000,19.5
1702951769000,19.4
1702951814000,19.4
1702951859000,19.4
1702951904000,19.4
1702951949000,19.4
1702951994000,19.4
1702952039000,19.4
1702952084000,19.4
1702952129000,19.3
1702952174000,19.3
1702952219000,19.4
1702952264000,19.4
1702952309000,19.4
1702952354000,19.4
1702952399000,19.4
1702952444000,19.4
1702952489000,19.4
1702952534000,19.4
1702952579000,19.4
1702952624000,19.4
1702952669000,19.4
1702952714000,19.4
1702952759000,19.4
1702952804000,19.4
1702952849000,19.4
1702952894000,19.4
1702952939000,19.4
1702952984000,19.4
1702953029000,19.4
1702953074000,19.4
1702953119000,19.5
1702953164000,19.5
1702953209000,19.3
1702953254000,19.3
1702953299000,19.3
1702953344000,19.3
1702953389000,19.1
1702953434000,19.1
1702953479000,19.3
1702953524000,19.3
1702953569000,19.4
1702953614000,19.4
1702953659000,19.3
1702953704000,19.3
1702953749000,19.4
1702953794000,19.4
1702953839000,19.2
1702953884000,19.2
1702953929000,19.4
1702953974000,19.4
1702954019000,19.3
1702954064000,19.3
1702954109000,19.4
1702954154000,19.4
1702954198000,19.4
1702954244000,19.4
1702954288000,19.4
1702954333000,19.4
1702954378000,19.3
1702954424000,19.3
1702954468000,19.3
1702954513000,19.3
1702954558000,19.2
1702954604000,19.2
1702954648000,19.4
1702954693000,19.4
1702954738000,19.1
1702954784000,19.1
1702954828000,19.1
1702954873000,19.1
1702954918000,19.3
1702954964000,19.3
1702955008000,19.3
1702955053000,19.3
1702955098000,19.3
1702955144000,19.3
1702955188000,19.4
1702955233000,19.4
1702955278000,19.3
1702955324000,19.3
1702955368000,19.2
1702955413000,19.2
1702955458000,19.2
1702955504000,19.2
1702955548000,19.3
1702955593000,19.3
1702955638000,19.4
1702955684000,19.4
1702955728000,19.2
1702955773000,19.2
1702955818000,19.3
1702955864000,19.3
1702955908000,19.3
1702955953000,19.3
1702955998000,19.3
1702956044000,19.3
1702956088000,19.4
