date,temperature
1703315052000,15.2
1703315090000,15.2
1703315135000,15.2
1703315180000,15.2
1703315225000,15.2
1703315270000,15.3
1703315315000,15.4
1703315360000,15.4
1703315405000,15.5
1703315450000,15.6
1703315495000,15.6
1703315540000,15.6
1703315585000,15.7
1703315630000,15.7
1703315675000,15.9
1703315720000,15.9
1703315765000,16
1703315810000,16.1
1703315855000,16.1
1703315900000,16.2
1703315945000,16.2
1703315990000,16.3
1703316170000,16.6
1703316215000,16.6
1703316260000,16.7
1703316305000,16.7
1703316620000,17.2
1703316665000,17.3
1703316755000,17.4
1703316800000,17.5
1703316845000,17.6
1703316890000,17.6
1703316935000,17.7
1703316980000,17.7
1703317025000,17.8
1703317070000,17.9
1703317115000,17.9
1703317160000,18
1703317205000,18.1
1703317250000,18.1
1703317295000,18.1
1703317340000,18.2
1703317385000,18.2
1703317430000,18.3
1703317475000,18.4
1703317520000,18.4
1703317565000,18.5
1703317610000,18.5
1703317655000,18.6
1703317700000,18.6
1703317745000,18.7
1703317790000,18.7
1703317835000,18.8
1703317880000,18.9
1703317925000,18.9
1703317970000,19
1703318015000,19.1
1703318060000,19.1
1703318105000,19.1
1703318150000,19.2
1703318195000,19.2
1703318240000,19.2
1703318285000,19.3
1703318330000,19.4
1703318375000,19.4
1703318420000,19.4
1703318465000,19.5
1703318510000,19.6
1703318555000,19.6
1703318600000,19.6
1703318645000,19.7
1703318690000,19.7
1703318735000,19.8
1703318780000,19.8
1703318825000,19.9
1703318870000,19.9
1703318915000,20
1703318960000,20
1703319005000,20.1
1703319050000,20.1
1703319095000,20.1
1703319140000,20.2
1703319185000,20.2
1703319230000,20.2
1703319275000,20.3
1703319320000,20.3
1703319365000,20.4
1703319410000,20.4
1703319455000,20.4
1703319500000,20.5
1703319545000,20.6
1703319590000,20.6
1703319635000,20.6
1703319680000,20.6
1703319725000,20.7
1703319770000,20.7
1703319815000,20.7
1703319860000,20.8
1703319905000,20.8
1703319950000,20.9
1703319995000,20.9
1703320040000,20.9
1703320085000,20.9
1703320130000,21
1703320175000,21.1
1703320220000,21.1
1703320265000,21.1
1703320310000,21.1
1703320355000,21.2
1703320400000,21.2
1703320445000,21.2
1703320490000,21.2
1703320535000,21.3
1703320580000,21.3
1703320625000,21.4
1703320670000,21.4
1703320715000,21.4
1703320760000,21.4
1703320805000,21.5
1703320850000,21.5
1703320895000,21.6
1703320939000,21.6
1703320985000,21.6
1703321029000,21.6
1703321074000,21.7
1703321119000,21.7
1703321165000,21.7
1703321209000,21.7
1703321254000,21.7
1703321299000,21.8
1703321345000,21.8
1703321389000,21.9
1703321434000,21.9
1703321479000,21.9
1703321525000,21.9
1703321569000,21.9
1703321614000,22
1703321659000,22
1703321705000,22.1
1703321749000,22.1
1703321794000,22.1
1703321839000,22.1
1703321885000,22.1
1703321929000,22.1
1703321974000,22.2
1703322019000,22.2
1703322065000,22.2
1703322109000,22.2
1703322154000,22.2
1703322199000,22.3
1703322245000,22.3
1703322289000,22.3
1703322334000,22.4
1703322379000,22.4
1703322425000,22.4
1703322469000,22.4
1703322514000,22.5
1703322559000,22.5
1703322605000,22.5
1703322649000,22.6
1703322694000,22.6
1703322739000,22.6
1703322785000,22.6
1703322829000,22.6
1703322874000,22.7
1703322919000,22.7
1703322965000,22.7
1703323009000,22.7
1703323054000,22.7
1703323099000,22.7
1703323145000,22.7
1703323189000,22.7
1703323234000,22.8
1703323279000,22.8
1703323325000,22.8
1703323369000,22.8
1703323414000,22.9
1703323459000,22.9
1703323505000,22.9
1703323549000,22.9
1703323594000,22.9
1703323639000,22.9
1703323685000,23
1703323729000,23
1703323774000,23
1703323819000,23.1
1703323865000,23.1
1703323909000,23.1
1703323954000,23.1
1703323999000,23.1
1703324045000,23.1
1703324089000,23.1
1703324134000,23.2
1703324179000,23.2
1703324225000,23.2
1703324269000,23.2
1703324314000,23.2
1703324359000,23.2
1703324405000,23.2
1703324449000,23.3
1703324494000,23.3
1703324539000,23.3
1703324585000,23.3
1703324629000,23.4
1703324674000,23.3
1703324719000,23.4
1703324765000,23.4
1703324809000,23.4
1703324854000,23.4
1703324899000,23.4
1703324945000,23.5
1703324989000,23.5
1703325034000,23.5
1703325079000,23.5
1703325125000,23.5
1703325169000,23.6
1703325214000,23.6
1703325259000,23.6
1703325305000,23.6
1703325349000,23.6
1703325394000,23.6
1703325439000,23.6
1703325485000,23.6
1703325529000,23.6
1703325574000,23.6
1703325619000,23.7
1703325665000,23.7
1703325709000,23.7
1703325754000,23.7
1703325799000,23.7
1703325845000,23.7
1703325889000,23.7
1703325934000,23.7
1703325979000,23.7
1703326025000,23.7
1703326069000,23.8
1703326114000,23.8
1703326159000,23.8
1703326205000,23.8
1703326249000,23.8
1703326294000,23.9
1703326339000,23.9
1703326385000,23.9
1703326429000,23.9
1703326474000,23.9
1703326519000,23.9
1703326565000,23.9
1703326610000,23.9
1703326654000,23.9
1703326699000,23.9
1703326744000,24
1703326790000,24
1703326834000,24
1703326879000,24
1703326924000,24
1703326970000,24
1703327014000,24
1703327059000,24
1703327104000,24.1
1703327150000,24.1
1703327194000,24.1
1703327239000,24.1
1703327284000,24.1
1703327330000,24.1
1703327374000,24.1
1703327419000,24.1
1703327464000,24.1
1703327510000,24.1
1703327554000,24.1
1703327599000,24.1
1703327644000,24.1
1703327690000,24.2
1703327734000,24.2
1703327779000,24.2
1703327824000,24.2
1703327870000,24.2
1703327914000,24.2
1703327959000,24.2
1703328004000,24.2
1703328050000,24.2
1703328094000,24.2
1703328139000,24.2
1703328184000,24.2
1703328230000,24.2
1703328274000,24.2
1703328319000,24.2
1703328364000,24.2
1703328410000,24.2
1703328454000,24.3
1703328499000,24.3
1703328544000,24.3
1703328590000,24.3
1703328634000,24.3
1703328679000,24.3
1703328724000,24.3
1703328770000,24.3
1703328814000,24.3
1703328859000,24.3
1703328904000,24.3
1703328950000,24.3
1703328994000,24.3
1703329039000,24.3
1703329084000,24.4
1703329130000,24.4
1703329174000,24.4
1703329219000,24.4
1703329264000,24.4
