date,temperature
1702854038000,18.7
1702854623000,18.7
1702855253000,18.7
1702855838000,18.6
1702856423000,18.6
1702857008000,18.8
1702857638000,18.7
1702858223000,18.6
1702858808000,18.7
1702859438000,18.8
1702860023000,18.8
1702860608000,18.7
1702861238000,18.7
1702861823000,18.7
1702862408000,18.8
1702863038000,18.7
1702863623000,19
1702864208000,18.7
1702864838000,18.8
1702865423000,18.7
1702866008000,18.7
1702866638000,18.8
1702867223000,18.7
1702867808000,18.8
1702868438000,18.9
1702869023000,18.8
1702869608000,18.8
1702870238000,18.9
1702870823000,18.8
1702871408000,18.8
1702872038000,18.9
1702872623000,18.9
1702873208000,18.7
1702873838000,18.8
1702874423000,18.9
1702875008000,18.9
1702875638000,18.8
1702876223000,19
1702876808000,18.9
1702877438000,19
1702878023000,18.9
1702878608000,19
1702879238000,19.1
1702879823000,19.3
1702880408000,19.4
1702881038000,19.5
1702881623000,19.3
1702882208000,19.4
1702882838000,19.6
1702883423000,19.6
1702884008000,19.6
1702884638000,19.7
1702885222000,19.7
1702885807000,19.8
1702886437000,19.7
1702887022000,19.7
1702887607000,20
1702888237000,19.9
1702888822000,19.9
1702889414000,19.9
1702889452000,19.9
1702889497000,19.9
1702889542000,20.1
1702889587000,20.1
1702889632000,20.1
1702889677000,20
1702889722000,20
1702889767000,19.9
1702889812000,19.9
1702889857000,19.9
1702889902000,19.9
1702889947000,20
1702889992000,20
1702890037000,19.9
1702890082000,19.9
1702890127000,20
1702890172000,20
1702890217000,20
1702890262000,20
1702890307000,20.1
1702890352000,20.1
1702890397000,20.1
1702890442000,20.1
1702890487000,20
1702890532000,20
1702890577000,20.2
1702890622000,20.2
1702890667000,19.9
1702890712000,19.9
1702890757000,20.2
1702890802000,20.2
1702890847000,20.1
1702890892000,20.1
1702890937000,20.1
1702890982000,20.1
1702891027000,20.2
1702891072000,20.2
1702891117000,20.1
1702891162000,20.1
1702891207000,20.1
1702891252000,20.1
1702891297000,20.2
1702891342000,20.2
1702891387000,20.2
1702891432000,20.2
1702891477000,20.1
1702891522000,20.1
1702891567000,20.1
1702891612000,20.1
1702891657000,20.1
1702891702000,20.1
1702891747000,20.3
1702891792000,20.3
1702891837000,20.3
1702891882000,20.3
1702891927000,20.3
1702891972000,20.3
1702892017000,20.3
1702892062000,20.3
1702892107000,20.3
1702892152000,20.3
1702892197000,20.2
1702892242000,20.2
1702892287000,20.3
1702892332000,20.3
1702892377000,20.4
1702892422000,20.4
1702892467000,20.3
1702892512000,20.3
1702892557000,20.4
1702892602000,20.4
1702892647000,20.4
1702892692000,20.4
1702892737000,20.5
1702892782000,20.5
1702892827000,20.4
1702892872000,20.4
1702892917000,20.4
1702892962000,20.4
1702893007000,20.5
1702893052000,20.5
1702893276000,20.5
1702893321000,20.6
1702893367000,20.6
1702893411000,20.6
1702893456000,20.6
1702893501000,20.6
1702893547000,20.6
1702893591000,20.6
1702893636000,20.6
1702893681000,20.7
1702893727000,20.7
1702893771000,20.6
1702893816000,20.6
1702893861000,20.7
1702893907000,20.7
1702893951000,20.7
1702893996000,20.7
1702894041000,20.8
1702894087000,20.8
1702894131000,20.8
1702894176000,20.8
1702894221000,20.7
1702894267000,20.7
1702894311000,20.8
1702894356000,20.8
1702894401000,20.8
1702894447000,20.8
1702894491000,20.9
1702894536000,20.9
1702894581000,20.9
1702894627000,20.9
1702894671000,20.9
1702894716000,20.9
1702894761000,20.8
1702894807000,20.8
1702894851000,20.9
1702894896000,20.9
1702894941000,20.8
1702894987000,20.8
1702895031000,21
1702895076000,21
1702895121000,20.8
1702895167000,20.8
1702895211000,21
1702895256000,21
1702895301000,20.9
1702895347000,20.9
1702895391000,21.1
1702895436000,21.1
1702895481000,21
1702895527000,21
1702895571000,21.2
1702895616000,21.2
1702895661000,21
1702895707000,21
1702895751000,21
1702895796000,21
1702895841000,21.1
1702895887000,21.1
1702895931000,21
1702895976000,21
1702896021000,21.2
1702896067000,21.2
1702896111000,21.2
1702896156000,21.2
1702896201000,21.1
1702896247000,21.1
1702896291000,21.1
1702896336000,21.1
1702896381000,21.1
1702896427000,21.1
1702896471000,21.1
1702896516000,21.1
1702896561000,21.3
1702896607000,21.3
1702896651000,21.2
1702896696000,21.2
1702896741000,21.2
1702896787000,21.2
1702896831000,21.1
1702896876000,21.1
1702896921000,21.3
1702896967000,21.3
1702897011000,21.2
1702897056000,21.2
1702897101000,21.2
1702897147000,21.2
1702897191000,21.4
1702897236000,21.4
1702897281000,21.2
1702897327000,21.2
1702897371000,21.3
1702897416000,21.3
1702897461000,21.2
1702897507000,21.2
1702897551000,21.3
1702897596000,21.3
1702897641000,21.3
1702897687000,21.3
1702897731000,21.4
1702897776000,21.4
1702897821000,21.3
1702897867000,21.3
1702897911000,21.3
1702897956000,21.3
1702898001000,21.4
1702898047000,21.4
1702898091000,21.4
1702898136000,21.4
1702898181000,21.4
1702898227000,21.4
1702898271000,21.4
1702898316000,21.4
1702898361000,21.5
1702898407000,21.5
1702898451000,21.4
1702898496000,21.4
1702898541000,21.5
1702898587000,21.5
1702898631000,21.5
1702898676000,21.5
1702898721000,21.6
1702898767000,21.6
1702898811000,21.5
1702898856000,21.5
1702898901000,21.5
1702898947000,21.5
1702898991000,21.6
1702899036000,21.6
1702899081000,21.7
1702899127000,21.7
1702899171000,21.8
1702899216000,21.8
1702899261000,21.6
1702899307000,21.6
1702899351000,21.6
1702899396000,21.6
1702899441000,21.6
1702899487000,21.6
1702899531000,21.7
1702899576000,21.7
1702899621000,21.7
1702899667000,21.7
1702899711000,21.6
1702899756000,21.6
1702899801000,21.7
1702899847000,21.7
1702899891000,21.7
1702899936000,21.7
1702899981000,21.7
1702900027000,21.7
1702900071000,21.7
1702900116000,21.7
1702900161000,21.6
1702900207000,21.6
1702900251000,21.7
1702900296000,21.7
1702900341000,21.6
1702900387000,21.6
1702900431000,21.8
1702900476000,21.8
1702900521000,21.7
1702900567000,21.7
1702900611000,21.9
1702900656000,21.9
1702900701000,21.7
1702900747000,21.7
1702900791000,21.8
1702900836000,21.8
1702900881000,21.7
1702900927000,21.7
1702901017000,21.6
1702901422000,21.8
1702901466000,21.8
1702901511000,22
1702901556000,22
1702901602000,21.8
1702901646000,21.8
1702901691000,21.8
1702901736000,22.1
1702901782000,22.1
1702901826000,22
1702901871000,22
1702901916000,21.8
1702901962000,21.8
1702902006000,21.9
1702902051000,21.9
1702902096000,22
1702902142000,22
1702902186000,21.9
1702902231000,21.9
1702902276000,21.9
1702902321000,21.9
1702902366000,21.9
1702902411000,21.9
1702902456000,21.9
1702902501000,21.9
1702902546000,21.8
1702902591000,21.8
1702902636000,21.8
1702902681000,21.8
1702902726000,21.8
1702902771000,21.8
1702902816000,21.8
1702902861000,21.8
1702902906000,21.8
1702902951000,21.8
1702902996000,21.9
1702903041000,21.9
1702903086000,21.9
1702903131000,21.9
1702903176000,21.9
1702903221000,21.9
1702903266000,21.9
1702903311000,21.9
1702903356000,21.9
1702903401000,21.9
1702903446000,22
1702903491000,22
1702903536000,21.8
1702903581000,21.8
1702903626000,22
1702903671000,22
1702903716000,22
1702903761000,22
