date,temperature
1702940435000,19.8
1702940480000,19.8
1702940525000,19.8
1702940571000,19.8
1702940615000,19.8
1702940660000,19.8
1702940705000,19.8
1702940751000,19.8
1702940795000,19.7
1702940840000,19.7
1702940885000,19.7
1702940931000,19.7
1702940975000,19.8
1702941020000,19.8
1702941065000,19.8
1702941111000,19.8
1702941155000,19.7
1702941200000,19.7
1702941245000,19.8
1702941291000,19.8
1702941335000,19.7
1702941380000,19.7
1702941425000,19.8
1702941471000,19.8
1702941515000,19.8
1702941560000,19.8
1702941605000,19.7
1702941651000,19.7
1702941695000,19.6
1702941740000,19.6
1702941785000,19.7
1702941831000,19.7
1702941875000,19.7
1702941920000,19.7
1702941965000,19.7
1702942011000,19.7
1702942055000,19.8
1702942100000,19.8
1702942145000,19.8
1702942191000,19.8
1702942235000,19.9
1702942280000,19.9
1702942325000,19.6
1702942371000,19.6
1702942415000,19.7
1702942460000,19.7
1702942505000,19.7
1702942551000,19.7
1702942595000,19.6
1702942640000,19.6
1702942685000,19.7
1702942731000,19.7
1702942775000,19.6
1702942820000,19.6
1702942865000,19.6
1702942911000,19.6
1702942955000,19.7
1702943000000,19.7
1702943045000,19.6
1702943091000,19.6
1702943135000,19.7
1702943180000,19.7
1702943225000,19.7
1702943270000,19.7
1702943315000,19.6
1702943360000,19.6
1702943405000,19.6
1702943450000,19.6
1702943495000,19.6
1702943540000,19.6
1702943585000,19.6
1702943630000,19.6
1702943675000,19.5
1702943720000,19.5
1702943765000,19.8
1702943810000,19.8
1702943855000,19.5
1702943900000,19.5
1702943945000,19.5
1702943990000,19.5
1702944035000,19.6
1702944080000,19.6
1702944125000,19.6
1702944170000,19.6
1702944215000,19.5
1702944260000,19.5
1702944305000,19.6
1702944350000,19.6
1702944395000,19.5
1702944440000,19.5
1702944485000,19.6
1702944530000,19.6
1702944575000,19.6
1702944620000,19.6
1702944665000,19.6
1702944710000,19.6
1702944755000,19.6
1702944800000,19.6
1702944845000,19.5
1702944890000,19.5
1702944935000,19.5
1702944980000,19.5
1702945025000,19.6
1702945070000,19.6
1702945115000,19.5
1702945160000,19.5
1702945205000,19.5
1702945250000,19.5
1702945295000,19.6
1702945340000,19.6
1702945385000,19.6
1702945430000,19.6
1702945475000,19.5
1702945520000,19.5
1702945565000,19.5
1702945610000,19.5
1702945655000,19.5
1702945700000,19.5
1702945745000,19.6
1702945790000,19.6
1702945835000,19.4
1702945880000,19.4
1702945925000,19.6
1702945970000,19.6
1702946015000,19.6
1702946060000,19.6
1702946105000,19.5
1702946150000,19.5
1702946195000,19.4
1702946240000,19.4
1702946285000,19.6
1702946330000,19.6
1702946375000,19.6
1702946420000,19.6
1702946465000,19.4
1702946510000,19.4
1702946555000,19.5
1702946600000,19.5
1702946645000,19.6
1702946690000,19.6
1702946735000,19.6
1702946780000,19.6
1702946825000,19.4
1702946870000,19.4
1702946915000,19.5
1702946960000,19.5
1702947005000,19.5
1702947050000,19.5
1702947095000,19.4
1702947140000,19.4
1702947185000,19.5
1702947230000,19.5
1702947275000,19.4
1702947320000,19.4
1702947365000,19.5
1702947410000,19.5
1702947455000,19.4
1702947500000,19.4
1702947545000,19.5
1702947590000,19.5
1702947680000,19.5
1702947725000,19.4
1702947770000,19.4
1702947815000,19.4
