date,temperature
1702940435000,17.9
1702940480000,17.9
1702940525000,17.9
1702940571000,17.9
1702940615000,17.9
1702940660000,17.9
1702940705000,17.9
1702940751000,17.9
1702940795000,17.9
1702940840000,17.9
1702940885000,17.9
1702940931000,17.9
1702940975000,17.9
1702941020000,17.8
1702941065000,17.8
1702941111000,17.8
1702941155000,17.8
1702941200000,17.8
1702941245000,17.8
1702941291000,17.8
1702941335000,17.8
1702941380000,17.7
1702941425000,17.7
1702941471000,17.7
1702941515000,17.7
1702941560000,17.7
1702941605000,17.7
1702941651000,17.7
1702941695000,17.7
1702941740000,17.7
1702941785000,17.7
1702941831000,17.7
1702941875000,17.7
1702941920000,17.7
1702941965000,17.7
1702942011000,17.7
1702942055000,17.7
1702942100000,17.7
1702942145000,17.7
1702942191000,17.7
1702942235000,17.7
1702942280000,17.6
1702942325000,17.6
1702942371000,17.6
1702942415000,17.6
1702942460000,17.6
1702942505000,17.6
1702942551000,17.6
1702942595000,17.6
1702942640000,17.6
1702942685000,17.6
1702942731000,17.6
1702942775000,17.6
1702942820000,17.6
1702942865000,17.6
1702942911000,17.6
1702942955000,17.6
1702943000000,17.6
1702943045000,17.6
1702943091000,17.6
1702943135000,17.6
1702943180000,17.6
1702943225000,17.5
1702943270000,17.6
1702943315000,17.5
1702943360000,17.5
1702943405000,17.5
1702943450000,17.5
1702943495000,17.5
1702943540000,17.5
1702943585000,17.5
1702943630000,17.5
1702943675000,17.5
1702943720000,17.5
1702943765000,17.5
1702943810000,17.4
1702943855000,17.4
1702943900000,17.4
1702943945000,17.4
1702943990000,17.4
1702944035000,17.4
1702944080000,17.4
1702944125000,17.4
1702944170000,17.4
1702944215000,17.4
1702944260000,17.4
1702944305000,17.4
1702944350000,17.4
1702944395000,17.4
1702944440000,17.4
1702944485000,17.4
1702944530000,17.4
1702944575000,17.4
1702944620000,17.4
1702944665000,17.4
1702944710000,17.4
1702944755000,17.4
1702944800000,17.4
1702944845000,17.4
1702944890000,17.4
1702944935000,17.3
1702944980000,17.3
1702945025000,17.3
1702945070000,17.3
1702945115000,17.3
1702945160000,17.3
1702945205000,17.3
1702945250000,17.3
1702945295000,17.3
1702945340000,17.2
1702945385000,17.3
1702945430000,17.2
1702945475000,17.2
1702945520000,17.2
1702945565000,17.2
1702945610000,17.2
1702945655000,17.2
1702945700000,17.2
1702945745000,17.2
1702945790000,17.2
1702945835000,17.2
1702945880000,17.2
1702945925000,17.2
1702945970000,17.2
1702946015000,17.2
1702946060000,17.2
1702946105000,17.2
1702946150000,17.2
1702946195000,17.2
1702946240000,17.2
1702946285000,17.2
1702946330000,17.2
1702946375000,17.2
1702946420000,17.2
1702946465000,17.2
1702946510000,17.2
1702946555000,17.2
1702946600000,17.2
1702946645000,17.2
1702946690000,17.1
1702946735000,17.1
1702946780000,17.2
1702946825000,17.1
1702946870000,17.1
1702946915000,17.1
1702946960000,17.1
1702947005000,17.1
1702947050000,17.1
1702947095000,17.1
1702947140000,17.1
1702947185000,17.1
1702947230000,17.1
1702947275000,17.1
1702947320000,17.1
1702947365000,17.1
1702947410000,17.1
1702947455000,17.1
1702947500000,17.1
1702947545000,17.1
1702947590000,17.1
1702947680000,17.1
1702947725000,17.1
1702947770000,17.1
1702947815000,17.1
1702947860000,17.1
1702947905000,17.1
1702947950000,17.1
1702947995000,17.1
1702948040000,17.1
1702948085000,17
1702948130000,17.1
1702948175000,17
1702948220000,17
1702948265000,17
1702948310000,17
1702948355000,17
1702948400000,17
1702948445000,17
1702948490000,17
1702948535000,17
1702948580000,17
1702948625000,17
1702948670000,17
1702948715000,17
1702948760000,17
1702948805000,17
1702948850000,17
1702948895000,16.9
1702948940000,16.9
1702948985000,16.9
1702949030000,16.9
1702949075000,16.9
1702949120000,16.9
1702949165000,16.9
1702949210000,16.9
1702949255000,16.9
1702949300000,16.9
1702949345000,16.9
1702949390000,16.9
1702949435000,16.9
1702949480000,16.9
1702949525000,16.9
1702949570000,16.9
1702949615000,16.9
1702949660000,16.9
1702949705000,16.9
1702949750000,16.9
1702949795000,16.9
1702949840000,16.9
1702949885000,16.9
1702949930000,16.9
1702949975000,16.9
1702950020000,16.9
1702950065000,16.9
1702950110000,16.9
1702950155000,16.9
1702950200000,16.9
1702950245000,16.9
1702950290000,16.9
1702950335000,16.9
1702950380000,16.9
1702950425000,16.9
1702950470000,16.8
1702950515000,16.9
1702950560000,16.9
1702950605000,16.9
1702950650000,16.8
1702950695000,16.9
1702950740000,16.8
1702950785000,16.8
1702950830000,16.8
1702950875000,16.8
1702950920000,16.8
1702950965000,16.8
1702951010000,16.8
1702951055000,16.8
1702951100000,16.8
1702951145000,16.8
1702951190000,16.8
1702951235000,16.8
1702951280000,16.8
1702951325000,16.8
1702951370000,16.8
1702951415000,16.8
1702951460000,16.8
1702951505000,16.8
1702951550000,16.7
1702951595000,16.7
1702951640000,16.7
1702951685000,16.7
1702951730000,16.7
1702951775000,16.7
1702951820000,16.7
1702951865000,16.7
1702951910000,16.7
1702951955000,16.7
1702952000000,16.7
1702952045000,16.7
1702952090000,16.7
1702952135000,16.7
1702952180000,16.7
1702952225000,16.7
1702952270000,16.7
1702952315000,16.7
1702952360000,16.7
1702952405000,16.7
1702952450000,16.7
1702952495000,16.7
1702952540000,16.7
1702952585000,16.7
1702952630000,16.7
1702952675000,16.7
1702952720000,16.7
1702952765000,16.7
1702952810000,16.7
1702952855000,16.7
1702952900000,16.7
1702952945000,16.7
1702952990000,16.7
1702953035000,16.7
1702953080000,16.7
1702953125000,16.7
1702953170000,16.7
1702953215000,16.7
1702953260000,16.7
1702953305000,16.7
1702953350000,16.7
1702953395000,16.7
1702953440000,16.7
1702953485000,16.7
1702953530000,16.6
1702953575000,16.7
1702953620000,16.7
1702953665000,16.7
1702953710000,16.6
1702953755000,16.6
1702953800000,16.6
1702953845000,16.6
1702953890000,16.6
1702953935000,16.6
1702953980000,16.6
1702954025000,16.6
1702954070000,16.6
1702954115000,16.6
1702954160000,16.6
1702954205000,16.6
1702954250000,16.6
1702954295000,16.6
1702954340000,16.6
1702954385000,16.6
1702954430000,16.6
1702954475000,16.6
1702954520000,16.6
1702954565000,16.6
1702954610000,16.6
1702954655000,16.6
1702954700000,16.6
1702954745000,16.6
1702954790000,16.6
1702954835000,16.6
1702954880000,16.6
1702954925000,16.6
1702954970000,16.6
1702955015000,16.6
1702955060000,16.6
1702955105000,16.6
1702955150000,16.6
1702955195000,16.6
1702955240000,16.6
1702955285000,16.6
1702955330000,16.6
1702955375000,16.6
1702955420000,16.6
1702955465000,16.6
1702955510000,16.6
1702955555000,16.6
1702955600000,16.6
1702955645000,16.6
1702955690000,16.6
1702955735000,16.6
1702955780000,16.6
1702955825000,16.6
1702955870000,16.6
1702955915000,16.6
1702955960000,16.6
1702956005000,16.6
1702956050000,16.6
1702956095000,16.6
1702956140000,16.5
1702956185000,16.6
1702956230000,16.5
1702956275000,16.6
1702956320000,16.5
1702956365000,16.5
1702956410000,16.6
1702956455000,16.6
1702956500000,16.5
1702956545000,16.5
1702956590000,16.5
1702956635000,16.5
1702956680000,16.5
