date,temperature
1702715081000,17.8
1702715119000,17.8
1702715164000,17.8
1702715209000,17.8
1702715255000,18.1
1702715299000,18.1
1702715344000,18.1
1702715389000,18.1
1702715435000,18.4
1702715479000,18.4
1702715524000,18.4
1702715569000,18.4
1702715615000,18.6
1702715659000,18.6
1702715704000,18.7
1702715749000,18.7
1702715795000,18.9
1702715839000,18.9
1702715884000,19
1702715929000,19
1702715975000,19.1
1702716019000,19.1
1702716064000,19
1702716109000,19
1702716155000,19.2
1702716199000,19.2
1702716244000,19.1
1702716289000,19.1
1702716335000,19.3
1702716379000,19.3
1702716424000,19.2
1702716469000,19.2
1702716515000,19.5
1702716559000,19.5
1702716604000,19.3
1702716649000,19.3
1702716695000,19.5
1702716739000,19.5
1702716784000,19.6
1702716829000,19.6
1702716874000,19.7
1702716919000,19.7
1702716964000,19.6
1702717009000,19.6
1702717054000,20
1702717099000,20
1702717144000,19.7
1702717189000,19.7
1702717234000,19.8
1702717279000,19.8
1702717324000,19.9
1702717369000,19.9
1702717414000,19.9
1702717459000,19.9
1702717504000,19.8
1702717549000,19.8
1702717594000,20.2
1702717639000,20.2
1702717684000,20
1702717729000,20
1702717774000,20
1702717819000,20
1702717864000,20.1
1702717909000,20.1
1702717954000,20.1
1702717999000,20.1
1702718044000,20.4
1702718089000,20.4
1702718134000,20.3
1702718179000,20.3
1702718224000,20.2
1702718269000,20.2
1702718314000,20.4
1702718359000,20.4
1702718404000,20.3
1702718449000,20.3
1702718494000,20.5
1702718539000,20.5
1702718584000,20.3
1702718629000,20.3
1702718674000,20.4
1702718719000,20.4
1702718764000,20.6
1702718809000,20.6
1702718854000,20.6
1702718899000,20.6
1702718944000,20.5
1702718989000,20.5
1702719034000,20.5
1702719079000,20.5
1702719124000,20.6
1702719169000,20.6
1702719214000,20.6
1702719259000,20.6
1702719304000,20.9
1702719349000,20.9
1702719394000,20.5
1702719439000,20.5
1702719484000,20.6
1702719529000,20.6
1702719574000,20.8
1702719619000,20.8
1702719664000,20.8
1702719709000,20.8
1702719754000,21
1702719799000,21
1702719844000,21
1702719889000,21
1702719934000,21
1702719979000,21
1702720024000,21
1702720069000,21
1702720114000,20.9
1702720159000,20.9
1702720204000,20.9
1702720249000,20.9
1702720294000,20.9
1702720339000,20.9
1702720384000,20.9
1702720429000,20.9
1702720474000,21.1
1702720519000,21.1
1702720564000,21
1702720609000,21
1702720654000,21
1702720699000,21
1702720744000,21.1
1702720789000,21.1
1702720834000,21
1702720879000,21
1702720924000,21.2
1702720969000,21.2
1702721014000,21.1
1702721059000,21.1
1702721104000,21.2
1702721149000,21.2
1702721194000,21.3
1702721239000,21.3
1702721284000,21.2
1702721329000,21.2
1702721374000,21.2
1702721419000,21.2
1702721464000,21.3
1702721509000,21.3
1702721554000,21.3
1702721599000,21.3
1702721644000,21.3
1702721689000,21.3
1702721734000,21.2
1702721779000,21.2
1702721824000,21.3
1702721869000,21.3
1702721914000,21.3
1702721959000,21.3
1702722004000,21.4
1702722049000,21.4
1702722094000,21.3
1702722139000,21.3
1702722184000,21.5
1702722229000,21.5
1702722274000,21.5
1702722319000,21.5
1702722364000,21.5
1702722409000,21.5
1702722454000,21.6
1702722499000,21.6
1702722544000,21.6
1702722589000,21.6
1702722634000,21.6
1702722679000,21.6
1702722724000,21.6
1702722769000,21.6
1702722814000,21.7
1702722859000,21.7
1702722904000,21.6
1702722949000,21.6
1702722994000,21.9
1702723039000,21.9
1702723084000,21.6
1702723129000,21.6
1702723174000,21.6
1702723219000,21.6
1702723264000,21.7
1702723309000,21.7
1702723354000,21.8
1702723399000,21.8
1702723444000,21.9
1702723489000,21.9
1702723534000,21.8
1702723579000,21.8
1702723624000,21.9
1702723669000,21.9
1702723714000,22.1
1702723759000,22.1
1702723804000,21.9
1702723849000,21.9
1702723894000,22
1702723939000,22
1702723984000,22.1
1702724029000,22.1
1702724074000,22.2
1702724119000,22.2
1702724164000,22.3
1702724209000,22.3
1702724254000,22.5
1702724299000,22.5
1702724344000,22.4
1702724389000,22.4
1702724434000,22.5
1702724479000,22.5
1702724524000,22.5
1702724569000,22.5
1702724614000,22.5
1702724659000,22.5
1702724704000,22.6
1702724749000,22.6
1702724794000,22.6
1702724839000,22.6
1702724884000,22.6
1702724929000,22.6
1702724974000,22.9
1702725019000,22.9
1702725064000,22.7
1702725109000,22.7
1702725154000,22.7
1702725199000,22.7
1702725244000,22.9
1702725289000,22.9
1702725334000,22.8
1702725379000,22.8
1702725424000,22.7
1702725469000,22.7
1702725514000,22.8
1702725559000,22.8
1702725604000,23
1702725649000,23
1702725694000,22.8
1702725739000,22.8
1702725784000,22.8
1702725829000,22.8
1702725874000,22.8
1702725919000,22.8
1702725964000,23.1
1702726009000,23.1
1702726054000,23
1702726099000,23
1702726144000,22.8
1702726189000,22.8
1702726234000,22.8
1702726279000,22.8
1702726324000,22.7
1702726369000,22.7
1702726414000,22.9
1702726459000,22.9
1702726504000,22.8
1702726549000,22.8
1702726594000,22.9
1702726684000,22.8
1702727089000,22.9
1702727134000,22.9
1702727179000,22.9
1702727224000,22.9
1702727269000,23.1
1702727314000,23.1
1702727359000,23.1
1702727404000,23
1702727449000,23
1702727494000,22.9
