date,temperature
1700900727000,17.4
1700900765000,17.4
1700900810000,17.4
1700900855000,17.4
1700900901000,17.7
1700900945000,17.7
1700900990000,17.7
1700901035000,17.7
1700901081000,17.7
1700901125000,17.7
1700901170000,18
1700901215000,18
1700901261000,18.1
1700901305000,18.1
1700901350000,18
1700901395000,18
1700901441000,18.3
1700901485000,18.3
1700901530000,18.4
1700901575000,18.4
1700901621000,18.2
1700901665000,18.2
1700901710000,18.5
1700901755000,18.5
1700901801000,18.5
1700901845000,18.5
1700901890000,18.7
1700901935000,18.7
1700901981000,18.7
1700902025000,18.7
1700902070000,18.8
1700902115000,18.8
1700902161000,19
1700902205000,19
1700902250000,19
1700902295000,19
1700902341000,18.9
1700902385000,18.9
1700902430000,19.3
1700902475000,19.3
1700902521000,19.2
1700902565000,19.2
1700902610000,18.9
1700902655000,18.9
1700902701000,19.1
1700902745000,19.1
1700902790000,19.1
1700902835000,19.1
1700902881000,19.4
1700902925000,19.4
1700902970000,19.3
1700903015000,19.3
1700903061000,19.3
1700903105000,19.3
1700903150000,19.6
1700903195000,19.6
1700903241000,19.5
1700903285000,19.5
1700903330000,19.4
1700903375000,19.4
1700903421000,19.6
1700903465000,19.6
1700903510000,19.6
1700903555000,19.6
1700903601000,19.6
1700903645000,19.6
1700903690000,19.7
1700903735000,19.7
1700903781000,19.7
1700903825000,19.7
1700903870000,19.8
1700903915000,19.8
1700903961000,19.8
1700904005000,19.8
1700904050000,19.9
1700904095000,19.9
1700904140000,20
1700904185000,20
1700904230000,20
1700904275000,20
1700904320000,20
1700904365000,20
1700904410000,20.1
1700904455000,20.1
1700904500000,20.1
1700904545000,20.1
1700904590000,20.1
1700904635000,20.1
1700904680000,20.3
1700904725000,20.3
1700904770000,20.2
1700904815000,20.2
1700904860000,20.2
1700904905000,20.2
1700904950000,20.4
1700904995000,20.4
1700905040000,20.3
1700905085000,20.3
1700905130000,20.4
1700905175000,20.4
1700905220000,20.4
1700905265000,20.4
1700905310000,20.4
1700905355000,20.4
1700905400000,20.5
1700905445000,20.5
1700905490000,20.6
1700905535000,20.6
1700905580000,20.6
1700905625000,20.6
1700905670000,20.8
1700905715000,20.8
1700905760000,20.7
1700905805000,20.7
1700905850000,20.7
1700905895000,20.7
1700905940000,20.8
1700905985000,20.8
1700906030000,20.8
1700906075000,20.8
1700906120000,20.9
1700906165000,20.9
1700906210000,20.9
1700906255000,20.9
1700906300000,20.9
1700906345000,20.9
1700906390000,21
1700906435000,21
1700906480000,21
1700906525000,21
1700906570000,21.2
1700906615000,21.2
1700906660000,21.2
1700906705000,21.2
1700906750000,21.3
1700906795000,21.3
1700906840000,21.3
1700906885000,21.3
1700906930000,21.3
1700906975000,21.3
1700907020000,21.4
1700907065000,21.4
1700907110000,21.4
1700907155000,21.4
1700907200000,21.3
1700907245000,21.3
1700907290000,21.5
1700907335000,21.5
1700907380000,21.6
1700907425000,21.6
1700907470000,21.5
1700907515000,21.5
1700907560000,21.6
1700907605000,21.6
1700907650000,21.8
1700907695000,21.8
1700907740000,21.6
1700907785000,21.6
1700907830000,21.7
1700907875000,21.7
1700907920000,21.8
1700907965000,21.8
1700908010000,21.9
1700908055000,21.9
1700908100000,21.8
1700908145000,21.8
1700908190000,21.8
1700908235000,21.8
1700908280000,21.8
1700908325000,21.8
1700908370000,21.8
1700908415000,21.8
1700908460000,22.1
1700908505000,22.1
1700908550000,22
1700908595000,22
1700908640000,22
1700908685000,22
1700908730000,22.1
1700908775000,22.1
1700908820000,22.1
1700908865000,22.1
1700908910000,22.1
1700908955000,22.1
1700909000000,22.3
1700909045000,22.3
1700909090000,22.2
1700909135000,22.2
1700909180000,22.4
1700909225000,22.4
1700909270000,22.4
1700909315000,22.4
1700909360000,22.3
1700909405000,22.3
1700909450000,22.3
1700909495000,22.3
1700909540000,22.4
1700909585000,22.4
1700909630000,22.3
1700909675000,22.3
1700909720000,22.2
1700909765000,22.2
1700909810000,22.5
1700909855000,22.5
1700909900000,22.4
1700909945000,22.4
1700909990000,22.5
1700910035000,22.5
1700910080000,22.4
1700910125000,22.4
1700910170000,22.5
1700910215000,22.5
1700910260000,22.5
1700910305000,22.5
1700910350000,22.5
1700910395000,22.5
1700910440000,22.5
1700910485000,22.5
1700910530000,22.6
1700910575000,22.6
1700910620000,22.6
1700910665000,22.6
1700910710000,22.7
1700910755000,22.7
1700910800000,22.8
1700910845000,22.8
1700910890000,22.7
1700910935000,22.7
1700910980000,22.7
1700911025000,22.7
1700911070000,22.6
1700911115000,22.6
1700911160000,22.6
1700911205000,22.6
1700911250000,22.8
1700911295000,22.8
1700911340000,22.7
1700911385000,22.7
1700911430000,22.7
1700911475000,22.7
1700911520000,22.7
1700911565000,22.7
1700911610000,22.8
1700911655000,22.8
1700911700000,22.9
1700911745000,22.9
1700911790000,22.7
1700911835000,22.7
1700911880000,22.8
1700911925000,22.8
1700911970000,22.7
1700912015000,22.7
1700912060000,22.7
1700912105000,22.7
1700912150000,22.8
1700912195000,22.8
1700912240000,22.7
1700912330000,22.7
1700912735000,22.8
1700912780000,22.8
1700912825000,23
1700912870000,23
1700912915000,22.8
1700912960000,22.8
1700913005000,22.8
1700913050000,23
1700913095000,23
1700913140000,22.9
1700913185000,22.9
1700913230000,22.8
1700913275000,22.8
1700913320000,22.8
1700913365000,22.8
1700913410000,22.9
1700913455000,22.9
1700913500000,22.9
1700913545000,22.9
1700913590000,22.8
1700913635000,22.8
1700913680000,22.9
1700913725000,22.9
1700913770000,22.8
1700913815000,22.8
1700913860000,23.2
1700913905000,23.2
1700913950000,22.9
1700913995000,22.9
1700914040000,22.9
1700914085000,22.9
1700914130000,22.9
1700914175000,22.9
1700914220000,23
1700914265000,23
1700914310000,22.8
1700914355000,22.8
1700914400000,22.9
1700914445000,22.9
1700914490000,22.9
1700914535000,22.9
1700914580000,22.8
1700914625000,22.8
1700914670000,23
1700914715000,23
1700914760000,22.8
1700914805000,22.8
1700914850000,22.8
1700914895000,22.8
1700914940000,22.9
1700914985000,22.9
1700915030000,22.9
1700915075000,22.9
1700915120000,22.9
1700915165000,22.9
1700915210000,23
1700915255000,23
1700915300000,22.8
1700915345000,22.8
1700915390000,23
1700915435000,23
1700915480000,22.8
1700915525000,22.8
1700915570000,22.8
1700915615000,22.8
1700915660000,22.9
1700915705000,22.9
1700915750000,22.8
1700915795000,22.8
1700915840000,22.8
1700915885000,22.8
1700915930000,22.8
1700915975000,22.8
1700916020000,22.8
1700916065000,22.8
1700916110000,22.7
1700916155000,22.7
1700916200000,22.8
1700916245000,22.8
1700916290000,22.7
1700916335000,22.7
1700916380000,22.8
1700916425000,22.8
