date,temperature
1702508439000,20.1
1702508484000,20.1
1702508529000,20.1
1702508575000,20
1702508619000,20
1702508664000,20
1702508709000,20
1702508755000,19.9
1702508799000,20
1702508844000,19.9
1702508889000,19.9
1702508935000,19.9
1702508979000,19.9
1702509024000,19.9
1702509069000,19.9
1702509115000,19.9
1702509159000,19.9
1702509204000,19.9
1702509249000,19.8
1702509295000,19.8
1702509339000,19.8
1702509384000,19.8
1702509429000,19.8
1702509475000,19.8
1702509519000,19.8
1702509564000,19.7
1702509609000,19.7
1702509655000,19.7
1702509699000,19.7
1702509744000,19.7
1702509789000,19.7
1702509835000,19.7
1702509879000,19.7
1702509924000,19.7
1702509969000,19.7
1702510015000,19.6
1702510059000,19.6
1702510104000,19.6
1702510149000,19.6
1702510195000,19.6
1702510239000,19.6
1702510284000,19.6
1702510329000,19.6
1702510375000,19.6
1702510419000,19.6
1702510464000,19.6
1702510509000,19.5
1702510555000,19.6
1702510599000,19.5
1702510644000,19.5
1702510689000,19.5
1702510735000,19.5
1702510779000,19.5
1702510824000,19.5
1702510869000,19.4
1702510915000,19.4
1702510959000,19.4
1702511004000,19.4
1702511049000,19.4
1702511095000,19.4
1702511139000,19.4
1702511184000,19.4
1702511229000,19.4
1702511275000,19.4
1702511319000,19.4
1702511364000,19.4
1702511409000,19.3
1702511455000,19.3
1702511499000,19.3
1702511544000,19.3
1702511589000,19.3
1702511635000,19.3
1702511679000,19.3
1702511724000,19.2
1702511769000,19.2
1702511815000,19.2
1702511859000,19.2
1702511904000,19.2
1702511949000,19.2
1702511995000,19.2
1702512039000,19.2
1702512084000,19.2
1702512129000,19.2
1702512175000,19.2
1702512219000,19.2
1702512264000,19.2
1702512309000,19.2
1702512355000,19.1
1702512399000,19.1
1702512444000,19.1
1702512489000,19.1
1702512535000,19.1
1702512579000,19.1
1702512624000,19.1
1702512669000,19.1
1702512715000,19.1
1702512759000,19.1
1702512804000,19.1
1702512849000,19.1
1702512895000,19.1
1702512939000,19.1
1702512984000,19.1
1702513029000,19
1702513075000,19
1702513119000,19
1702513164000,19
1702513209000,19
1702513255000,19
1702513299000,19
1702513344000,19
1702513389000,19
1702513435000,18.9
1702513479000,18.9
1702513524000,18.9
1702513569000,18.9
1702513615000,18.9
1702513659000,18.9
1702513704000,18.9
1702513749000,18.9
1702513795000,18.9
1702513839000,18.9
1702513884000,18.9
1702513929000,18.9
1702513975000,18.9
1702514019000,18.9
1702514064000,18.9
1702514109000,18.8
1702514155000,18.8
