date,temperature
1700901039000,17.2
1700901084000,17.2
1700901129000,17.3
1700901174000,17.4
1700901219000,17.4
1700901264000,17.5
1700901309000,17.6
1700901354000,17.6
1700901399000,17.7
1700901444000,17.7
1700901489000,17.8
1700901534000,17.9
1700901579000,17.9
1700901624000,17.9
1700901669000,18
1700901714000,18.1
1700901759000,18.1
1700901804000,18.2
1700901849000,18.2
1700901894000,18.2
1700901939000,18.3
1700901984000,18.4
1700902029000,18.4
1700902074000,18.5
1700902119000,18.6
1700902164000,18.6
1700902209000,18.6
1700902254000,18.7
1700902299000,18.7
1700902344000,18.7
1700902389000,18.8
1700902434000,18.9
1700902479000,18.9
1700902524000,18.9
1700902569000,19
1700902614000,19.1
1700902659000,19.1
1700902704000,19.1
1700902749000,19.2
1700902794000,19.2
1700902839000,19.2
1700902884000,19.3
1700902929000,19.3
1700902974000,19.4
1700903019000,19.4
1700903064000,19.5
1700903109000,19.5
1700903154000,19.6
1700903199000,19.6
1700903244000,19.6
1700903289000,19.7
1700903334000,19.7
1700903379000,19.9
1700903424000,19.9
1700903469000,20
1700903514000,20.1
1700903559000,20.1
1700903604000,20.2
1700903649000,20.2
1700903694000,20.4
1700903739000,20.4
1700903784000,20.5
1700903829000,20.6
1700903874000,20.6
1700903919000,20.7
1700903964000,20.7
1700904009000,20.8
1700904054000,20.8
1700904099000,20.9
1700904144000,20.9
1700904189000,20.9
1700904234000,21
1700904279000,21
1700904324000,21.1
1700904369000,21.1
1700904414000,21.1
1700904459000,21.2
1700904504000,21.2
1700904549000,21.3
1700904594000,21.3
1700904639000,21.4
1700904684000,21.4
1700904729000,21.5
1700904774000,21.5
1700904819000,21.6
1700904864000,21.6
1700904909000,21.7
1700904954000,21.7
1700904999000,21.8
1700905044000,21.9
1700905089000,21.9
1700905134000,21.9
1700905179000,22
1700905224000,22
1700905269000,22
1700905314000,22.1
1700905359000,22.1
1700905404000,22.1
1700905449000,22.1
1700905494000,22.2
1700905539000,22.2
1700905584000,22.2
1700905629000,22.2
1700905674000,22.2
1700905719000,22.2
1700905764000,22.3
1700905809000,22.3
1700905854000,22.3
1700905899000,22.4
1700905944000,22.4
1700905989000,22.4
1700906034000,22.4
1700906079000,22.4
1700906124000,22.4
1700906169000,22.5
1700906214000,22.5
1700906259000,22.6
1700906304000,22.6
1700906349000,22.6
1700906394000,22.6
1700906439000,22.6
1700906484000,22.6
1700906529000,22.7
